Wall time,Step,Value
1776147883.079142,0,-63.738529205322266
1776149228.0280995,10,-63.73796081542969
1776150573.7957509,20,-63.734745025634766
1776151917.271375,30,-63.7294807434082
1776153263.457183,40,-63.72915267944336
1776154610.409983,50,-63.72792053222656
1776155956.9074528,60,-63.722469329833984
1776157302.9631948,70,-63.70901107788086
1776158649.9096782,80,-63.70909881591797
1776159997.768426,90,-63.6995735168457
1776161344.2197454,100,-63.68547439575195
1776162690.7225072,110,-63.6805419921875
1776164037.5803506,120,-63.663673400878906
1776165384.2768004,130,-63.63402557373047
1776166729.6899483,140,-63.58397674560547
1776168076.5942829,150,-63.54479217529297
1776169423.95162,160,-63.50931167602539
1776170770.5448089,170,-63.49665069580078
1776172116.2337747,180,-63.48530960083008
1776173462.8219202,190,-63.53284454345703
1776174809.175742,200,-63.565574645996094
1776176155.006274,210,-63.625064849853516
1776177501.4713883,220,-63.656375885009766
1776178847.1406736,230,-63.644287109375
1776180192.27001,240,-63.63642120361328
1776181539.071674,250,-63.6535758972168
1776182885.8651896,260,-63.66572952270508
1776184232.1218414,270,-63.716766357421875
1776185578.1519146,280,-63.74745178222656
1776186925.0744047,290,-63.82036590576172
1776188272.1354592,300,-63.92584991455078
1776189618.6292322,310,-64.1349105834961
1776190964.8429956,320,-64.37865447998047
1776192310.9523313,330,-64.62821197509766
1776193657.265092,340,-64.90851593017578
1776195002.2268002,350,-65.19444274902344
1776196347.4503918,360,-65.4669189453125
1776197692.4165592,370,-65.8731460571289
1776199037.2384076,380,-66.13782501220703
1776200384.5697892,390,-66.11288452148438
1776201730.27251,400,-66.3612289428711
1776203075.4304554,410,-66.50413513183594
1776204421.1068556,420,-67.14814758300781
1776205767.6006956,430,-67.92899322509766
1776207112.792213,440,-68.02095031738281
1776208459.0069897,450,-68.1640396118164
1776209804.9062812,460,-68.80140686035156
1776211150.8125467,470,-69.25221252441406
1776212496.5363011,480,-69.18505096435547
1776213841.851505,490,-69.62694549560547
1776215187.692407,500,-70.26268005371094
1776216532.8673317,510,-70.94210052490234
1776217878.8749928,520,-71.2857894897461
1776219225.0737193,530,-71.82861328125
1776220570.1302145,540,-71.87215423583984
1776221915.4570942,550,-72.04097747802734
1776223261.3780313,560,-72.25917053222656
1776224607.6007774,570,-72.62472534179688
1776225953.5003207,580,-73.17915344238281
1776227299.2066562,590,-74.61682891845703
1776228644.9947963,600,-74.92072296142578
1776229991.0421524,610,-75.65413665771484
1776231337.0193884,620,-77.26573181152344
1776232683.5449693,630,-78.03118133544922
1776234029.2052877,640,-80.3984375
1776235375.1621132,650,-80.98299407958984
1776236721.0751762,660,-81.04398345947266
1776238067.8411255,670,-81.73414611816406
1776239414.975066,680,-81.22531127929688
1776240761.3017738,690,-82.43855285644531
1776242107.9255064,700,-85.77400970458984
1776243455.008814,710,-82.72955322265625
1776244800.865201,720,-83.54646301269531
1776246147.7930248,730,-80.8135986328125
1776247493.5308793,740,-80.01876831054688
1776248839.9193263,750,-87.70811462402344
1776250185.7959137,760,-85.7876968383789
1776251531.664356,770,-81.2910385131836
1776252877.9330878,780,-83.53284454345703
1776254224.0462892,790,-86.020263671875
1776255570.1647108,800,-90.24654388427734
1776256916.0832334,810,-92.21887969970703
1776258258.5280526,820,-84.43482208251953
1776259599.1306772,830,-85.1889419555664
1776260939.8057218,840,-81.66227722167969
1776262281.0101478,850,-81.93059539794922
1776263622.5134473,860,-90.0256576538086
1776264962.9783335,870,-82.25469970703125
1776266303.3597157,880,-82.73597717285156
1776267644.64248,890,-84.16429901123047
1776268985.114661,900,-83.26873016357422
1776270325.4746435,910,-80.93714904785156
1776271666.713179,920,-86.6267318725586
1776273007.292034,930,-89.02852630615234
1776274349.398723,940,-91.3180160522461
1776275691.0332978,950,-96.27365112304688
1776277032.1386113,960,-94.27375030517578
1776278373.3069458,970,-86.78400421142578
1776279713.8739243,980,-87.09130859375
1776281054.6473708,990,-94.83161926269531
1776282395.9712465,1000,-97.03236389160156
1776283736.7058969,1010,-99.76644134521484
1776285078.6223345,1020,-92.97222900390625
1776286419.5687244,1030,-95.5045166015625
1776287760.6974397,1040,-97.66949462890625
1776289101.6865485,1050,-92.70100402832031
1776290442.1527638,1060,-92.4217529296875
1776291782.8659203,1070,-98.51460266113281
1776293123.5893567,1080,-102.17570495605469
1776294464.4877527,1090,-96.64046478271484
1776295805.7312272,1100,-100.58876037597656
1776297147.3594446,1110,-102.37906646728516
1776298488.4869113,1120,-96.06095886230469
1776299829.8440921,1130,-87.80413818359375
1776301170.6946118,1140,-91.73970031738281
1776302510.9459615,1150,-93.56269073486328
1776303851.724117,1160,-95.55858612060547
1776305192.6484554,1170,-93.95549774169922
1776306533.5978894,1180,-89.71562957763672
1776307874.4331837,1190,-90.83258056640625
1776309215.018161,1200,-102.25316619873047
1776310555.9821522,1210,-102.59722900390625
1776311896.714935,1220,-98.48484802246094
1776313238.7350428,1230,-98.03041076660156
1776314579.7748415,1240,-96.99093627929688
1776315920.9740937,1250,-100.2169418334961
1776317261.9016392,1260,-99.02897644042969
1776318603.1924045,1270,-97.01134490966797
1776319944.014106,1280,-98.07494354248047
1776321286.2543712,1290,-98.53115844726562
1776322629.3948314,1300,-94.62008666992188
1776323969.8021417,1310,-98.01409149169922
1776325310.9909832,1320,-94.98664093017578
1776326651.4185183,1330,-100.46177673339844
1776327992.1378198,1340,-96.43975067138672
