Wall time,Step,Value
1776147885.6476583,1,-2.4227969646453857
1776147907.7134252,10,-2.3220348358154297
1776149253.4524255,20,-2.326904773712158
1776150597.238164,30,-2.3501954078674316
1776151942.6644666,40,-2.3733620643615723
1776153289.3543813,50,-2.3456809520721436
1776154635.2100651,60,-2.3295950889587402
1776155981.2410777,70,-2.3382954597473145
1776157328.3397093,80,-2.392789125442505
1776158676.0105376,90,-2.3351502418518066
1776160022.6989317,100,-2.3513519763946533
1776161369.0860674,110,-2.358973979949951
1776162715.9005873,120,-2.377509593963623
1776164062.3257124,130,-2.366847515106201
1776165407.8352845,140,-2.3650245666503906
1776166754.6679413,150,-2.4514007568359375
1776168101.2450972,160,-2.356844663619995
1776169448.495399,170,-2.434121608734131
1776170794.4328566,180,-2.482203960418701
1776172141.0164564,190,-2.4848854541778564
1776173487.2565525,200,-2.5114529132843018
1776174833.939045,210,-2.5127451419830322
1776176180.5369859,220,-2.473818063735962
1776177526.1334054,230,-2.52870512008667
1776178870.989545,240,-2.5482709407806396
1776180217.1586556,250,-2.5336415767669678
1776181563.7374947,260,-2.6090049743652344
1776182910.076711,270,-2.6339969635009766
1776184255.9904401,280,-2.6086924076080322
1776185602.8109734,290,-2.625135898590088
1776186949.63273,300,-2.6196722984313965
1776188296.5305755,310,-2.6568989753723145
1776189643.5169983,320,-2.704451084136963
1776190990.311507,330,-2.699082136154175
1776192336.1308503,340,-2.745462656021118
1776193681.365821,350,-2.72639799118042
1776195026.6520998,360,-2.7409543991088867
1776196371.410444,370,-2.7507858276367188
1776197716.3595784,380,-2.7645773887634277
1776199063.1993594,390,-2.6349785327911377
1776200408.9234967,400,-2.715730667114258
1776201754.5840557,410,-2.756887912750244
1776203099.9283133,420,-2.674943685531616
1776204446.142267,430,-2.6897501945495605
1776205791.5507936,440,-2.6527748107910156
1776207137.9212668,450,-2.648895502090454
1776208483.652331,460,-2.68202543258667
1776209829.7629974,470,-2.668520927429199
1776211175.1028001,480,-2.689391851425171
1776212520.6789367,490,-2.676849842071533
1776213866.4390833,500,-2.6351478099823
1776215211.7160113,510,-2.707570791244507
1776216557.4986527,520,-2.670586585998535
1776217903.7902055,530,-2.7373087406158447
1776219249.0650494,540,-2.667337656021118
1776220594.159696,550,-2.6975955963134766
1776221939.7853956,560,-2.712007999420166
1776223286.4093862,570,-2.7132346630096436
1776224632.3952646,580,-2.6888561248779297
1776225977.9302077,590,-2.687976598739624
1776227323.6722703,600,-2.656656265258789
1776228669.6031356,610,-2.7049508094787598
1776230015.755821,620,-2.6875908374786377
1776231362.1545556,630,-2.6962733268737793
1776232707.9783213,640,-2.717578411102295
1776234053.533037,650,-2.6844468116760254
1776235399.7448282,660,-2.6833953857421875
1776236746.1590667,670,-2.698512554168701
1776238093.178955,680,-2.7262158393859863
1776239439.5848424,690,-2.7489287853240967
1776240786.058856,700,-2.746011734008789
1776242132.9979682,710,-2.7583248615264893
1776243479.656022,720,-2.7734107971191406
1776244826.6605988,730,-2.742419719696045
1776246172.4106214,740,-2.783689260482788
1776247518.521541,750,-2.767747640609741
1776248864.643845,760,-2.7576327323913574
1776250210.1666749,770,-2.7893424034118652
1776251556.3178828,780,-2.8016514778137207
1776252902.4163465,790,-2.7757411003112793
1776254248.787744,800,-2.6874520778656006
1776255594.5401483,810,-2.697113275527954
1776256940.370244,820,-2.724836826324463
1776258282.830056,830,-2.7332892417907715
1776259623.6580808,840,-2.6752867698669434
1776260964.8135624,850,-2.678133726119995
1776262306.1675553,860,-2.6475913524627686
1776263646.8445315,870,-2.6609036922454834
1776264987.2691042,880,-2.687918186187744
1776266328.1175592,890,-2.7626891136169434
1776267668.9150577,900,-2.6622159481048584
1776269009.2899306,910,-2.6664702892303467
1776270350.3168116,920,-2.6459779739379883
1776271691.0509355,930,-2.60079288482666
1776273032.7379396,940,-2.6340534687042236
1776274374.5853658,950,-2.707988739013672
1776275715.6839998,960,-2.6809418201446533
1776277057.0481613,970,-2.7059528827667236
1776278397.645361,980,-2.771218776702881
1776279738.2662575,990,-2.7666404247283936
1776281079.5840647,1000,-2.723989486694336
1776282420.3054686,1010,-2.7415900230407715
1776283762.2969117,1020,-2.6902313232421875
1776285103.3088243,1030,-2.806483507156372
1776286444.4044049,1040,-2.794248580932617
1776287785.337466,1050,-2.8809990882873535
1776289126.0628865,1060,-2.9506113529205322
1776290466.5629418,1070,-3.0996036529541016
1776291807.2037978,1080,-3.0949277877807617
1776293148.2994208,1090,-3.0765445232391357
1776294489.2416327,1100,-2.9677417278289795
1776295830.7455387,1110,-2.8696303367614746
1776297172.0751624,1120,-2.9083852767944336
1776298513.363098,1130,-2.8908772468566895
1776299854.4463084,1140,-2.8730077743530273
1776301194.4154544,1150,-2.8374714851379395
1776302535.4523852,1160,-2.8516316413879395
1776303876.1128502,1170,-2.8152096271514893
1776305216.9995437,1180,-2.778640031814575
1776306557.8676398,1190,-2.7887933254241943
1776307898.4978504,1200,-2.8369364738464355
1776309239.5679932,1210,-2.9630961418151855
1776310580.6181486,1220,-2.9703280925750732
1776311922.2305894,1230,-2.9396910667419434
1776313263.319129,1240,-2.8794586658477783
1776314604.486017,1250,-2.894721508026123
1776315945.7484276,1260,-2.9252138137817383
1776317286.6967046,1270,-2.9489974975585938
1776318627.421312,1280,-3.034646511077881
1776319969.7331982,1290,-2.9172661304473877
1776321310.9589632,1300,-2.9188780784606934
1776322653.2588794,1310,-2.9031012058258057
1776323994.6454957,1320,-2.8541243076324463
1776325335.0107906,1330,-2.8900363445281982
1776326675.760904,1340,-2.9534199237823486
