Wall time,Step,Value
1776147885.6476378,1,-63.72724151611328
1776147907.7134047,10,-61.22917938232422
1776149253.452404,20,-59.24047088623047
1776150597.2381423,30,-58.687705993652344
1776151942.6644459,40,-56.394309997558594
1776153289.3543606,50,-57.75425338745117
1776154635.2100441,60,-59.18755340576172
1776155981.2410574,70,-62.9662971496582
1776157328.3396888,80,-63.10187530517578
1776158676.0105174,90,-61.89678192138672
1776160022.6989112,100,-62.65252685546875
1776161369.086047,110,-59.359962463378906
1776162715.900567,120,-61.65082550048828
1776164062.3256917,130,-58.57924270629883
1776165407.835264,140,-59.16377639770508
1776166754.6679206,150,-61.28277587890625
1776168101.2450767,160,-60.07750701904297
1776169448.4953785,170,-62.1880989074707
1776170794.4328353,180,-61.291168212890625
1776172141.0164359,190,-60.7725830078125
1776173487.2565315,200,-60.1932373046875
1776174833.9390244,210,-59.9573974609375
1776176180.5369656,220,-60.7719612121582
1776177526.1333847,230,-59.791770935058594
1776178870.989525,240,-57.048736572265625
1776180217.1586354,250,-61.388221740722656
1776181563.7374737,260,-61.83159255981445
1776182910.0766907,270,-60.587013244628906
1776184255.9904196,280,-58.38336944580078
1776185602.810953,290,-60.74098587036133
1776186949.6327097,300,-58.7423210144043
1776188296.5305552,310,-60.896583557128906
1776189643.5169775,320,-57.88899612426758
1776190990.3114862,330,-61.07792282104492
1776192336.1308298,340,-64.25018310546875
1776193681.3658001,350,-60.36049270629883
1776195026.6520793,360,-61.82054901123047
1776196371.4104238,370,-61.11415481567383
1776197716.3595548,380,-62.05549240112305
1776199063.1993392,390,-59.06804275512695
1776200408.9234765,400,-63.3109245300293
1776201754.5840352,410,-63.25883865356445
1776203099.9282932,420,-63.721031188964844
1776204446.1422462,430,-62.314361572265625
1776205791.5507634,440,-62.742027282714844
1776207137.921246,450,-65.54383850097656
1776208483.6523106,460,-63.950408935546875
1776209829.7629771,470,-67.60087585449219
1776211175.1027699,480,-64.22267150878906
1776212520.6789157,490,-68.83589935302734
1776213866.439063,500,-69.43903350830078
1776215211.7159905,510,-67.02225494384766
1776216557.4986327,520,-69.33321380615234
1776217903.7901819,530,-69.49852752685547
1776219249.0650287,540,-68.82456970214844
1776220594.1596754,550,-71.21833801269531
1776221939.7853746,560,-67.64857482910156
1776223286.4093657,570,-70.06708526611328
1776224632.3952441,580,-70.55677795410156
1776225977.9301875,590,-70.41287994384766
1776227323.6722498,600,-73.2202377319336
1776228669.6031125,610,-71.74809265136719
1776230015.7558007,620,-74.51285552978516
1776231362.154535,630,-76.05084991455078
1776232707.9783008,640,-75.04173278808594
1776234053.5330167,650,-77.75289154052734
1776235399.7448075,660,-81.27912139892578
1776236746.1590464,670,-80.2569351196289
1776238093.178934,680,-80.71582794189453
1776239439.584822,690,-79.23455810546875
1776240786.0588353,700,-83.17955017089844
1776242132.9979477,710,-87.01774597167969
1776243479.6560016,720,-85.90286254882812
1776244826.6605775,730,-81.08256530761719
1776246172.410601,740,-82.03644561767578
1776247518.5215209,750,-81.91314697265625
1776248864.6438248,760,-88.13063049316406
1776250210.1666543,770,-80.75281524658203
1776251556.3178627,780,-81.35502624511719
1776252902.4163258,790,-82.1360855102539
1776254248.7877233,800,-85.29203796386719
1776255594.540123,810,-88.53374481201172
1776256940.3702235,820,-87.441650390625
1776258282.8300352,830,-79.92086029052734
1776259623.6580598,840,-79.7234878540039
1776260964.8135417,850,-81.43648529052734
1776262306.167535,860,-84.34217834472656
1776263646.844511,870,-86.80268859863281
1776264987.269084,880,-80.3937759399414
1776266328.1175392,890,-78.1888656616211
1776267668.9150364,900,-80.70569610595703
1776269009.2899098,910,-79.22796630859375
1776270350.3167906,920,-81.10734558105469
1776271691.050915,930,-85.8587417602539
1776273032.737919,940,-88.41642761230469
1776274374.5853453,950,-95.02571868896484
1776275715.683979,960,-93.50325775146484
1776277057.048141,970,-89.01480865478516
1776278397.6453404,980,-85.26380920410156
1776279738.266237,990,-87.77870178222656
1776281079.584044,1000,-90.95222473144531
1776282420.305447,1010,-93.35359191894531
1776283762.2968879,1020,-96.47657775878906
1776285103.3088038,1030,-92.8487319946289
1776286444.4043844,1040,-98.1382827758789
1776287785.3374453,1050,-94.10588836669922
1776289126.062866,1060,-89.06788635253906
1776290466.5629213,1070,-93.2471694946289
1776291807.2037652,1080,-96.55726623535156
1776293148.2994,1090,-100.55451965332031
1776294489.2416122,1100,-98.43489074707031
1776295830.745518,1110,-99.08714294433594
1776297172.075142,1120,-97.84004211425781
1776298513.3630774,1130,-94.52699279785156
1776299854.4462879,1140,-86.99253845214844
1776301194.415434,1150,-89.2269287109375
1776302535.4523647,1160,-93.69403076171875
1776303876.112827,1170,-93.4477767944336
1776305216.9995232,1180,-93.26929473876953
1776306557.867619,1190,-87.45539855957031
1776307898.4978297,1200,-92.1976089477539
1776309239.5679727,1210,-102.65208435058594
1776310580.618128,1220,-97.55802154541016
1776311922.2305691,1230,-99.75336456298828
1776313263.3191082,1240,-97.63948059082031
1776314604.4859936,1250,-97.35289001464844
1776315945.7484074,1260,-98.97901916503906
1776317286.6966841,1270,-97.66935729980469
1776318627.4212916,1280,-95.94438171386719
1776319969.733177,1290,-95.55052185058594
1776321310.9589424,1300,-93.11212158203125
1776322653.2588587,1310,-96.38676452636719
1776323994.6454751,1320,-95.56182861328125
1776325335.0107605,1330,-99.47039031982422
1776326675.760883,1340,-97.54502868652344
