Wall time,Step,Value
1776147885.647648,1,-48.43547821044922
1776147907.713415,10,-56.17440414428711
1776149253.452415,20,-56.84027862548828
1776150597.2381525,30,-59.219757080078125
1776151942.6644564,40,-56.33864212036133
1776153289.354371,50,-58.747230529785156
1776154635.2100546,60,-60.354164123535156
1776155981.2410674,70,-56.589752197265625
1776157328.339699,80,-59.28339767456055
1776158676.0105274,90,-56.692352294921875
1776160022.6989214,100,-57.615478515625
1776161369.0860572,110,-57.02839279174805
1776162715.9005773,120,-61.4254035949707
1776164062.325702,130,-55.40386199951172
1776165407.8352742,140,-53.7056999206543
1776166754.6679308,150,-60.029090881347656
1776168101.245087,160,-56.3278694152832
1776169448.4953887,170,-57.25011444091797
1776170794.4328463,180,-59.540435791015625
1776172141.016446,190,-56.78508377075195
1776173487.256542,200,-56.85161590576172
1776174833.9390347,210,-59.12186813354492
1776176180.5369756,220,-58.50577926635742
1776177526.1333952,230,-59.19329833984375
1776178870.989535,240,-58.18293380737305
1776180217.1586454,250,-60.12262725830078
1776181563.7374842,260,-58.989959716796875
1776182910.0767007,270,-59.10032272338867
1776184255.9904299,280,-58.47979736328125
1776185602.8109632,290,-59.27863693237305
1776186949.6327198,300,-61.1751594543457
1776188296.5305653,310,-61.05889892578125
1776189643.5169878,320,-59.283729553222656
1776190990.3114965,330,-62.56916046142578
1776192336.13084,340,-61.42121505737305
1776193681.3658106,350,-59.68357467651367
1776195026.6520896,360,-63.10152053833008
1776196371.4104338,370,-62.588600158691406
1776197716.359568,380,-64.54158782958984
1776199063.1993492,390,-61.909706115722656
1776200408.9234867,400,-61.82630157470703
1776201754.5840454,410,-63.75231170654297
1776203099.928303,420,-63.222496032714844
1776204446.1422565,430,-62.44359588623047
1776205791.5507736,440,-65.22025299072266
1776207137.9212565,450,-66.25316619873047
1776208483.6523209,460,-67.09615325927734
1776209829.7629874,470,-66.66863250732422
1776211175.1027894,480,-68.41319274902344
1776212520.6789258,490,-67.81356811523438
1776213866.439073,500,-67.91358947753906
1776215211.716001,510,-71.69776916503906
1776216557.4986427,520,-70.64863586425781
1776217903.790195,530,-72.7693099975586
1776219249.065039,540,-70.26332092285156
1776220594.1596859,550,-73.23882293701172
1776221939.7853851,560,-71.7946548461914
1776223286.409376,570,-71.48878479003906
1776224632.3952544,580,-70.53678894042969
1776225977.9301975,590,-74.8344497680664
1776227323.67226,600,-79.3637924194336
1776228669.6031227,610,-76.56153869628906
1776230015.755811,620,-79.78797912597656
1776231362.1545453,630,-80.59501647949219
1776232707.978311,640,-80.55565643310547
1776234053.533027,650,-82.79551696777344
1776235399.744818,660,-82.43717193603516
1776236746.1590564,670,-83.8927993774414
1776238093.1789446,680,-84.73765563964844
1776239439.5848322,690,-85.12602233886719
1776240786.0588458,700,-86.86175537109375
1776242132.997958,710,-92.11491394042969
1776243479.6560118,720,-88.32874298095703
1776244826.6605883,730,-88.34915924072266
1776246172.4106114,740,-86.1597900390625
1776247518.5215309,750,-87.00830078125
1776248864.6438348,760,-90.02377319335938
1776250210.1666646,770,-88.50898742675781
1776251556.3178725,780,-87.45510864257812
1776252902.4163363,790,-88.91239166259766
1776254248.7877338,800,-91.99305725097656
1776255594.5401356,810,-96.36747741699219
1776256940.3702338,820,-92.28645324707031
1776258282.8300457,830,-86.7983169555664
1776259623.6580703,840,-91.41496276855469
1776260964.8135521,850,-88.42443084716797
1776262306.167545,860,-91.22692108154297
1776263646.8445213,870,-91.31189727783203
1776264987.269094,880,-83.52069091796875
1776266328.117549,890,-90.52042388916016
1776267668.915047,900,-90.16902160644531
1776269009.2899203,910,-85.88525390625
1776270350.3168013,920,-90.27569580078125
1776271691.0509253,930,-92.51564025878906
1776273032.737929,940,-97.65787506103516
1776274374.5853555,950,-103.78111267089844
1776275715.6839895,960,-105.12574768066406
1776277057.0481513,970,-95.06623840332031
1776278397.6453507,980,-93.16866302490234
1776279738.2662473,990,-102.12863159179688
1776281079.5840545,1000,-100.0778579711914
1776282420.305458,1010,-106.3705825805664
1776283762.2969015,1020,-105.6173095703125
1776285103.308814,1030,-101.00768280029297
1776286444.4043949,1040,-104.33695983886719
1776287785.337456,1050,-107.5587387084961
1776289126.0628762,1060,-97.4305648803711
1776290466.5629315,1070,-104.09844970703125
1776291807.2037756,1080,-110.51080322265625
1776293148.2994103,1090,-109.92695617675781
1776294489.2416224,1100,-108.10892486572266
1776295830.7455282,1110,-110.91633605957031
1776297172.0751522,1120,-109.29915618896484
1776298513.3630877,1130,-105.02054595947266
1776299854.4462981,1140,-100.97110748291016
1776301194.4154441,1150,-102.43892669677734
1776302535.452375,1160,-103.87886810302734
1776303876.11284,1170,-103.92021179199219
1776305216.9995334,1180,-105.07096099853516
1776306557.8676295,1190,-100.31736755371094
1776307898.49784,1200,-104.24922180175781
1776309239.567983,1210,-113.29341888427734
1776310580.6181383,1220,-109.3850326538086
1776311922.2305794,1230,-109.85395812988281
1776313263.3191187,1240,-110.08023834228516
1776314604.4860039,1250,-107.81092834472656
1776315945.7484176,1260,-112.4135513305664
1776317286.6966944,1270,-106.87625885009766
1776318627.4213018,1280,-109.7662353515625
1776319969.7331877,1290,-109.31488037109375
1776321310.9589527,1300,-104.70633697509766
1776322653.258869,1310,-107.03968811035156
1776323994.6454854,1320,-106.39571380615234
1776325335.0107708,1330,-111.39985656738281
1776326675.7608936,1340,-109.98941802978516
