Wall time,Step,Value
1776147885.6476066,1,0.0
1776147907.713373,10,-0.00021789631864521652
1776149253.452368,20,-4.8909503675531596e-05
1776150597.2381103,30,0.0009119074675254524
1776151942.6644144,40,0.0004632762575056404
1776153289.3543298,50,-0.0008148062042891979
1776154635.2100127,60,0.0032295570708811283
1776155981.2410262,70,-0.0017799973720684648
1776157328.3396573,80,-0.002539926441386342
1776158676.0104861,90,-0.002344464650377631
1776160022.6988792,100,-9.162670176010579e-05
1776161369.0860152,110,-0.004311571829020977
1776162715.9005356,120,-0.0025472212582826614
1776164062.3256607,130,-0.005878484807908535
1776165407.835233,140,-0.012374216690659523
1776166754.6678865,150,-0.0121823875233531
1776168101.2450452,160,-0.01459566317498684
1776169448.4953475,170,-0.01797630824148655
1776170794.4328027,180,-0.037085093557834625
1776172141.016405,190,-0.04495634138584137
1776173487.2564986,200,-0.05637268349528313
1776174833.9389932,210,-0.06916642189025879
1776176180.536934,220,-0.11271913349628448
1776177526.1333535,230,-0.11315294355154037
1776178870.989494,240,-0.1326322704553604
1776180217.1586041,250,-0.1262436807155609
1776181563.7374423,260,-0.15837761759757996
1776182910.0766594,270,-0.17461135983467102
1776184255.9903884,280,-0.16250008344650269
1776185602.8109217,290,-0.17893585562705994
1776186949.6326785,300,-0.2199956178665161
1776188296.530524,310,-0.2784811854362488
1776189643.5169468,320,-0.2712230086326599
1776190990.3114522,330,-0.3133036196231842
1776192336.1307986,340,-0.36112233996391296
1776193681.365759,350,-0.4243539869785309
1776195026.652048,360,-0.48466581106185913
1776196371.4103928,370,-0.5155551433563232
1776197716.3595233,380,-0.5369473099708557
1776199063.1993084,390,-0.535222589969635
1776200408.9234457,400,-0.6056166291236877
1776201754.5840037,410,-0.6315045356750488
1776203099.928262,420,-0.6858586072921753
1776204446.1422148,430,-0.7396733164787292
1776205791.5507324,440,-0.8181624412536621
1776207137.9212146,450,-0.8578969836235046
1776208483.6522791,460,-0.9215689897537231
1776209829.762946,470,-0.9777010083198547
1776211175.1027386,480,-1.0604126453399658
1776212520.678884,490,-1.018680453300476
1776213866.4390318,500,-1.110734224319458
1776215211.7159595,510,-1.2523245811462402
1776216557.4986017,520,-1.2588222026824951
1776217903.7901506,530,-1.3288027048110962
1776219249.0649972,540,-1.3763231039047241
1776220594.1596441,550,-1.4073432683944702
1776221939.785342,560,-1.4067882299423218
1776223286.4093351,570,-1.5042908191680908
1776224632.395213,580,-1.5370407104492188
1776225977.9301565,590,-1.6152288913726807
1776227323.6722178,600,-1.9193016290664673
1776228669.6030815,610,-1.9378715753555298
1776230015.75576,620,-1.993747353553772
1776231362.1545043,630,-2.158356189727783
1776232707.97827,640,-2.3059868812561035
1776234053.532985,650,-2.5765299797058105
1776235399.7447665,660,-2.5553274154663086
1776236746.1590157,670,-2.6070523262023926
1776238093.1789017,680,-2.7917537689208984
1776239439.5847898,690,-2.6388001441955566
1776240786.0588036,700,-3.063305377960205
1776242132.9979134,710,-3.1839828491210938
1776243479.65597,720,-2.8336615562438965
1776244826.6605456,730,-2.983459234237671
1776246172.4105697,740,-2.6123688220977783
1776247518.5214899,750,-3.063870906829834
1776248864.6437924,760,-3.2237675189971924
1776250210.1666205,770,-3.072186231613159
1776251556.3178318,780,-2.866649866104126
1776252902.4162915,790,-3.108725070953369
1776254248.7876914,800,-3.498256206512451
1776255594.5400918,810,-3.8244881629943848
1776256940.3701918,820,-3.622286558151245
1776258282.8300037,830,-3.000866413116455
1776259623.6580284,840,-3.157585859298706
1776260964.8135107,850,-2.8149948120117188
1776262306.1675038,860,-3.244823455810547
1776263646.8444798,870,-3.5220017433166504
1776264987.269053,880,-2.9347996711730957
1776266328.117507,890,-3.126225471496582
1776267668.9150045,900,-3.227228879928589
1776269009.2898788,910,-2.9985897541046143
1776270350.3167489,920,-3.2032222747802734
1776271691.0508842,930,-3.559622287750244
1776273032.7378848,940,-3.9041099548339844
1776274374.585314,950,-4.35949182510376
1776275715.683948,960,-4.58364200592041
1776277057.0481067,970,-3.949075698852539
1776278397.6453092,980,-3.684178590774536
1776279738.266206,990,-4.4047369956970215
1776281079.5840125,1000,-4.426701545715332
1776282420.3054159,1010,-4.960428714752197
1776283762.2968566,1020,-4.704235076904297
1776285103.3087616,1030,-4.341233730316162
1776286444.4043531,1040,-4.762568473815918
1776287785.337414,1050,-4.638142108917236
1776289126.0628328,1060,-4.2347331047058105
1776290466.56289,1070,-4.702498912811279
1776291807.2037337,1080,-5.265598297119141
1776293148.2993681,1090,-5.176129341125488
1776294489.2415812,1100,-4.978995323181152
1776295830.745486,1110,-5.2715864181518555
1776297172.0751088,1120,-5.0890936851501465
1776298513.3630462,1130,-4.640681266784668
1776299854.446257,1140,-3.9535839557647705
1776301194.4154024,1150,-4.518490791320801
1776302535.4523335,1160,-4.560848236083984
1776303876.112795,1170,-4.654889106750488
1776305216.9994917,1180,-4.573660373687744
1776306557.867588,1190,-4.223811149597168
1776307898.4977977,1200,-4.875321865081787
1776309239.5679412,1210,-5.38726282119751
1776310580.618096,1220,-5.175857067108154
1776311922.2305377,1230,-5.087595462799072
1776313263.3190768,1240,-5.249903678894043
1776314604.4859595,1250,-5.004158973693848
1776315945.7483766,1260,-5.308330535888672
1776317286.6966536,1270,-5.160945892333984
1776318627.4212606,1280,-5.162039756774902
1776319969.7331443,1290,-5.381823539733887
1776321310.9589112,1300,-4.959280967712402
1776322653.2588274,1310,-4.958819389343262
1776323994.645444,1320,-4.853714466094971
1776325335.0107298,1330,-5.2607855796813965
1776326675.7608519,1340,-5.414396286010742
