Wall time,Step,Value
1776147855.2755623,0,-2.400888204574585
1776149190.5713084,10,-2.4097800254821777
1776150526.8735173,20,-2.4080214500427246
1776151861.1486115,30,-2.402932643890381
1776153197.6336794,40,-2.4080018997192383
1776154534.5562904,50,-2.4062283039093018
1776155870.8079498,60,-2.3998756408691406
1776157206.6610448,70,-2.409574508666992
1776158543.5112069,80,-2.405895233154297
1776159881.1881306,90,-2.40598201751709
1776161217.7155592,100,-2.411586046218872
1776162554.1421235,110,-2.4094033241271973
1776163890.9825237,120,-2.4182982444763184
1776165227.5124848,130,-2.418325424194336
1776166562.817055,140,-2.4263739585876465
1776167899.5880039,150,-2.441972017288208
1776169236.6356454,160,-2.4518754482269287
1776170572.9881506,170,-2.45520281791687
1776171908.7129095,180,-2.4696333408355713
1776173245.4281795,190,-2.4842116832733154
1776174581.8184228,200,-2.5014874935150146
1776175918.1706774,210,-2.5154032707214355
1776177255.1263905,220,-2.52909779548645
1776178591.0872798,230,-2.5467312335968018
1776179926.1327097,240,-2.5604050159454346
1776181262.6812758,250,-2.575812816619873
1776182599.2310631,260,-2.595125198364258
1776183935.2620504,270,-2.6077868938446045
1776185270.9408884,280,-2.6236557960510254
1776186607.6304352,290,-2.631887197494507
1776187944.3844302,300,-2.6425435543060303
1776189280.828496,310,-2.63864803314209
1776190617.280886,320,-2.641559600830078
1776191953.956585,330,-2.6465673446655273
1776193290.5650005,340,-2.6583855152130127
1776194625.9744425,350,-2.6709511280059814
1776195961.648119,360,-2.6822876930236816
1776197296.833933,370,-2.697382688522339
1776198631.9931598,380,-2.695122718811035
1776199969.303264,390,-2.6956045627593994
1776201305.2158594,400,-2.6977193355560303
1776202640.7975123,410,-2.7207229137420654
1776203976.5400643,420,-2.726851224899292
1776205313.0778058,430,-2.7260735034942627
1776206648.4090426,440,-2.7417657375335693
1776207984.8834522,450,-2.730027198791504
1776209320.9872272,460,-2.7259724140167236
1776210657.061101,470,-2.7308974266052246
1776211992.9046834,480,-2.69921612739563
1776213328.553619,490,-2.7179224491119385
1776214664.3565035,500,-2.767972230911255
1776215999.5958683,510,-2.795433521270752
1776217335.503183,520,-2.821279287338257
1776218671.8257122,530,-2.8438355922698975
1776220007.0612442,540,-2.842773914337158
1776221342.4304018,550,-2.840548276901245
1776222677.9832718,560,-2.806448459625244
1776224014.5888767,570,-2.7627274990081787
1776225350.8899405,580,-2.769900321960449
1776226686.6377077,590,-2.7452597618103027
1776228022.4788187,600,-2.73707914352417
1776229358.5141256,610,-2.6918766498565674
1776230694.6358314,620,-2.6913671493530273
1776232031.0982778,630,-2.724034070968628
1776233367.2623646,640,-2.7414722442626953
1776234703.09277,650,-2.7545878887176514
1776236039.3121738,660,-2.7831146717071533
1776237376.0023935,670,-2.795804262161255
1776238712.947096,680,-2.810138702392578
1776240049.204832,690,-2.8520145416259766
1776241385.664841,700,-2.882664203643799
1776242722.482565,710,-2.811177968978882
1776244058.791452,720,-2.73422908782959
1776245396.121084,730,-2.7267379760742188
1776246732.2936916,740,-2.731049060821533
1776248068.8100321,750,-2.7238266468048096
1776249405.083231,760,-2.73862886428833
1776250741.2435918,770,-2.702580451965332
1776252077.5892212,780,-2.764500379562378
1776253413.7336097,790,-2.815295934677124
1776254750.193242,800,-2.8448703289031982
1776256086.169099,810,-2.8835058212280273
1776257422.2160504,820,-2.95206618309021
