Wall time,Step,Value
1776147855.2759924,0,-2.4180519580841064
1776149190.5717523,10,-2.427008628845215
1776150526.8739347,20,-2.425388813018799
1776151861.1490424,30,-2.4202487468719482
1776153197.6341171,40,-2.425218343734741
1776154534.5567634,50,-2.4229812622070312
1776155870.8087885,60,-2.416962146759033
1776157206.661871,70,-2.4268202781677246
1776158543.5116117,80,-2.4229137897491455
1776159881.1885564,90,-2.4232168197631836
1776161217.7159843,100,-2.428921699523926
1776162554.1429455,110,-2.4265148639678955
1776163890.9833913,120,-2.43569278717041
1776165227.5129242,130,-2.4355037212371826
1776166562.8174727,140,-2.443758010864258
1776167899.5888667,150,-2.4598965644836426
1776169236.6360767,160,-2.470015287399292
1776170572.9885821,170,-2.473581314086914
1776171908.713334,180,-2.488438367843628
1776173245.4285958,190,-2.5033955574035645
1776174581.81886,200,-2.5222134590148926
1776175918.1711133,210,-2.5370805263519287
1776177255.126828,220,-2.551870107650757
1776178591.0877001,230,-2.570091485977173
1776179926.1335618,240,-2.585099935531616
1776181262.6821122,250,-2.6017019748687744
1776182599.2316182,260,-2.6222922801971436
1776183935.2624693,270,-2.6365089416503906
1776185270.9413369,280,-2.652801275253296
1776186607.6313045,290,-2.6624059677124023
1776187944.3848557,300,-2.6744275093078613
1776189280.829358,310,-2.6711955070495605
1776190617.2817194,320,-2.6750595569610596
1776191953.9576428,330,-2.681265115737915
1776193290.5658607,340,-2.6934823989868164
1776194625.9753058,350,-2.707230567932129
1776195961.64896,360,-2.7193872928619385
1776197296.8343434,370,-2.7352006435394287
1776198631.9935782,380,-2.7343175411224365
1776199969.3036397,390,-2.735442876815796
1776201305.2166889,400,-2.7379744052886963
1776202640.7983432,410,-2.762726306915283
1776203976.5404985,420,-2.7697651386260986
1776205313.0782351,430,-2.7708699703216553
1776206648.4094687,440,-2.7872581481933594
1776207984.883879,450,-2.7763609886169434
1776209320.9876442,460,-2.7740156650543213
1776210657.061599,470,-2.780071258544922
1776211992.9051073,480,-2.7487850189208984
1776213328.5544658,490,-2.7679572105407715
1776214664.3573523,500,-2.8189210891723633
1776215999.5966961,510,-2.8473081588745117
1776217335.503594,520,-2.87495756149292
1776218671.8265522,530,-2.899693012237549
1776220007.062097,540,-2.9000251293182373
1776221342.430833,550,-2.8975045680999756
1776222677.9841213,560,-2.86490797996521
1776224014.589307,570,-2.8213424682617188
1776225350.8907962,580,-2.8303840160369873
1776226686.638142,590,-2.805694580078125
1776228022.4796422,600,-2.7977588176727295
1776229358.5149558,610,-2.7531003952026367
1776230694.6362488,620,-2.7531187534332275
1776232031.0987728,630,-2.7869694232940674
1776233367.262791,640,-2.805227041244507
1776234703.0932095,650,-2.8190436363220215
1776236039.312595,660,-2.8473894596099854
1776237376.0028281,670,-2.860745906829834
1776238712.9477665,680,-2.8745551109313965
1776240049.2056782,690,-2.91735577583313
1776241385.665265,700,-2.948843002319336
1776242722.482999,710,-2.8769614696502686
1776244058.7918842,720,-2.7982168197631836
1776245396.1217327,730,-2.7906081676483154
1776246732.2941294,740,-2.7944538593292236
1776248068.8105159,750,-2.7877519130706787
1776249405.083713,760,-2.802993059158325
1776250741.244071,770,-2.7691690921783447
1776252077.5897129,780,-2.8316733837127686
1776253413.7345235,790,-2.8829500675201416
1776254750.1937277,800,-2.9121456146240234
1776256086.1697228,810,-2.951206684112549
1776257422.2165344,820,-3.0209481716156006
