Wall time,Step,Value
1776147855.2755413,0,-63.68640899658203
1776149190.5712879,10,-63.687286376953125
1776150526.873497,20,-63.68827819824219
1776151861.148591,30,-63.69286346435547
1776153197.6336586,40,-63.689849853515625
1776154534.5562701,50,-63.67750549316406
1776155870.8079293,60,-63.70282745361328
1776157206.6610234,70,-63.681514739990234
1776158543.5111866,80,-63.68220138549805
1776159881.188106,90,-63.65970230102539
1776161217.7155385,100,-63.656898498535156
1776162554.1421032,110,-63.628475189208984
1776163890.9825032,120,-63.61505126953125
1776165227.5124645,130,-63.58755874633789
1776166562.8170342,140,-63.550750732421875
1776167899.5879834,150,-63.497886657714844
1776169236.6356251,160,-63.464210510253906
1776170572.9881272,170,-63.429443359375
1776171908.7128887,180,-63.40650939941406
1776173245.4281583,190,-63.40604782104492
1776174581.8184006,200,-63.44269943237305
1776175918.170657,210,-63.48875045776367
1776177255.1263702,220,-63.54085159301758
1776178591.0872595,230,-63.57784652709961
1776179926.1326892,240,-63.66485595703125
1776181262.681255,250,-63.73989486694336
1776182599.2310429,260,-63.83699417114258
1776183935.2620294,270,-63.91807174682617
1776185270.9408677,280,-63.98404312133789
1776186607.6304142,290,-64.02798461914062
1776187944.38441,300,-64.16476440429688
1776189280.828476,310,-64.23528289794922
1776190617.2808652,320,-64.31792449951172
1776191953.9565632,330,-64.39619445800781
1776193290.5649798,340,-64.43312072753906
1776194625.9744217,350,-64.51923370361328
1776195961.6480975,360,-64.64971923828125
1776197296.8339124,370,-64.80851745605469
1776198631.9931395,380,-65.041748046875
1776199969.3032436,390,-65.13626098632812
1776201305.215836,400,-65.2518081665039
1776202640.7974916,410,-65.48274230957031
1776203976.5400438,420,-65.82820129394531
1776205313.0777729,430,-66.13704681396484
1776206648.4090216,440,-66.26541900634766
1776207984.883429,450,-66.45032501220703
1776209320.987207,460,-67.03394317626953
1776210657.0610807,470,-67.50428009033203
1776211992.9046624,480,-67.43968200683594
1776213328.5535984,490,-67.6933364868164
1776214664.356483,500,-68.21408081054688
1776215999.595848,510,-68.63491821289062
1776217335.5031624,520,-68.9998779296875
1776218671.8256915,530,-69.45064544677734
1776220007.061224,540,-69.64730834960938
1776221342.4303813,550,-69.68727111816406
1776222677.9832518,560,-69.6259536743164
1776224014.5888553,570,-69.45523834228516
1776225350.8899198,580,-70.26087951660156
1776226686.6376874,590,-69.99527740478516
1776228022.4787984,600,-69.62831115722656
1776229358.5141053,610,-69.57750701904297
1776230694.635811,620,-69.78244018554688
1776232031.0982578,630,-70.69709014892578
1776233367.2623441,640,-71.17953491210938
1776234703.0927496,650,-71.46121978759766
1776236039.3121533,660,-71.3924789428711
1776237376.0023735,670,-71.32169342041016
1776238712.9470756,680,-71.50347900390625
1776240049.2048116,690,-72.58182525634766
1776241385.6648204,700,-74.0310287475586
1776242722.4825444,710,-71.83435821533203
1776244058.7914314,720,-70.16614532470703
1776245396.1210635,730,-69.8780746459961
1776246732.2936714,740,-69.41112518310547
1776248068.8100119,750,-69.77140808105469
1776249405.08321,760,-70.29393005371094
1776250741.2435715,770,-71.12041473388672
1776252077.5891995,780,-72.27812957763672
1776253413.7335894,790,-72.46910095214844
1776254750.1932216,800,-72.44872283935547
1776256086.1690762,810,-72.7543716430664
1776257422.2160301,820,-73.34477233886719
