Wall time,Step,Value
1776147855.275552,0,-71.34613037109375
1776149190.5712981,10,-71.34249877929688
1776150526.873507,20,-71.34481048583984
1776151861.1486013,30,-71.34989929199219
1776153197.6336691,40,-71.34781646728516
1776154534.5562804,50,-71.3382339477539
1776155870.8079393,60,-71.36126708984375
1776157206.6610343,70,-71.34005737304688
1776158543.5111966,80,-71.35002136230469
1776159881.1881163,90,-71.3355712890625
1776161217.7155488,100,-71.33914947509766
1776162554.1421134,110,-71.31959533691406
1776163890.9825137,120,-71.31205749511719
1776165227.5124748,130,-71.3096694946289
1776166562.8170445,140,-71.2975845336914
1776167899.5879936,150,-71.27922058105469
1776169236.6356351,160,-71.27550506591797
1776170572.9881403,170,-71.30072021484375
1776171908.7128994,180,-71.34102630615234
1776173245.428169,190,-71.42868041992188
1776174581.8184116,200,-71.55137634277344
1776175918.1706672,210,-71.67523193359375
1776177255.1263802,220,-71.79378509521484
1776178591.0872698,230,-71.89237213134766
1776179926.1326995,240,-72.05982208251953
1776181262.6812654,250,-72.20146942138672
1776182599.231053,260,-72.38033294677734
1776183935.26204,270,-72.52395629882812
1776185270.9408777,280,-72.65730285644531
1776186607.6304247,290,-72.75472259521484
1776187944.38442,300,-72.9616928100586
1776189280.828486,310,-73.09298706054688
1776190617.2808757,320,-73.23079681396484
1776191953.9565744,330,-73.3694076538086
1776193290.56499,340,-73.45105743408203
1776194625.9744322,350,-73.58937072753906
1776195961.6481087,360,-73.793212890625
1776197296.8339229,370,-74.03556060791016
1776198631.9931495,380,-74.36426544189453
1776199969.3032537,390,-74.50306701660156
1776201305.2158463,400,-74.67306518554688
1776202640.797502,410,-74.9959945678711
1776203976.540054,420,-75.43559265136719
1776205313.0777948,430,-75.83332061767578
1776206648.409032,440,-76.04778289794922
1776207984.8834395,450,-76.31912231445312
1776209320.987217,460,-76.9875717163086
1776210657.0610905,470,-77.54728698730469
1776211992.9046726,480,-77.52471160888672
1776213328.553609,490,-77.84600830078125
1776214664.3564932,500,-78.49407196044922
1776215999.595858,510,-79.04442596435547
1776217335.5031726,520,-79.58983612060547
1776218671.825702,530,-80.21006774902344
1776220007.061234,540,-80.469970703125
1776221342.4303916,550,-80.57188415527344
1776222677.983262,560,-80.60547637939453
1776224014.5888658,570,-80.5059814453125
1776225350.88993,580,-81.44120025634766
1776226686.6376977,590,-81.16708374023438
1776228022.4788086,600,-80.84426879882812
1776229358.5141153,610,-80.84246826171875
1776230694.6358213,620,-81.13829040527344
1776232031.0982678,630,-82.22613525390625
1776233367.2623544,640,-82.81082153320312
1776234703.0927598,650,-83.21559143066406
1776236039.3121638,660,-83.23509979248047
1776237376.0023837,670,-83.16270446777344
1776238712.9470859,680,-83.32010650634766
1776240049.2048218,690,-84.48738098144531
1776241385.6648307,700,-86.07859802246094
1776242722.4825547,710,-83.88102722167969
1776244058.7914414,720,-81.97789764404297
1776245396.1210735,730,-81.69426727294922
1776246732.2936816,740,-81.15878295898438
1776248068.810022,750,-81.52791595458984
1776249405.0832205,760,-82.02058410644531
1776250741.2435818,770,-82.93318176269531
1776252077.5892105,780,-84.24312591552734
1776253413.7335997,790,-84.50416564941406
1776254750.1932316,800,-84.51307678222656
1776256086.1690888,810,-84.88921356201172
1776257422.2160401,820,-85.65345764160156
