Wall time,Step,Value
1776147855.2754993,0,0.0
1776149190.5712411,10,-8.752519352128729e-05
1776150526.8734558,20,-0.0001869320112746209
1776151861.14855,30,-0.0006456240662373602
1776153197.633616,40,-0.0003444307076279074
1776154534.5562286,50,0.0008904587011784315
1776155870.8078866,60,-0.0016418423037976027
1776157206.6609814,70,0.000489307043608278
1776158543.5111449,80,0.0004205903096590191
1776159881.1880634,90,0.0026706361677497625
1776161217.7154973,100,0.0029505148995667696
1776162554.1420622,110,0.005793108604848385
1776163890.9824579,120,0.0071357907727360725
1776165227.5124235,130,0.009884747676551342
1776166562.8169928,140,0.01356512401252985
1776167899.5879421,150,0.018852220848202705
1776169236.635584,160,0.022219454869627953
1776170572.9880857,170,0.025695806369185448
1776171908.7128458,180,0.027989346534013748
1776173245.4281166,190,0.028036629781126976
1776174581.8183577,200,0.02437073551118374
1776175918.1706154,210,0.019766055047512054
1776177255.1263292,220,0.014555467292666435
1776178591.0872185,230,0.010855693370103836
1776179926.1326475,240,0.002154797315597534
1776181262.6812122,250,-0.005348829086869955
1776182599.2310023,260,-0.015058678574860096
1776183935.261987,270,-0.02316664345562458
1776185270.9408245,280,-0.029764272272586823
1776186607.6303718,290,-0.03415781259536743
1776187944.3843684,300,-0.04783602058887482
1776189280.8284352,310,-0.05488738417625427
1776190617.2808228,320,-0.06315199285745621
1776191953.9565198,330,-0.07097871601581573
1776193290.5649378,340,-0.07467201352119446
1776194625.9743779,350,-0.08328303694725037
1776195961.6480563,360,-0.09633171558380127
1776197296.8338704,370,-0.11221160739660263
1776198631.9930985,380,-0.13553477823734283
1776199969.3032029,390,-0.14498521387577057
1776201305.2157948,400,-0.15653936564922333
1776202640.7974503,410,-0.17963382601737976
1776203976.5400019,420,-0.21417996287345886
1776205313.0777318,430,-0.2450644075870514
1776206648.4089797,440,-0.2579009532928467
1776207984.8833876,450,-0.2763913571834564
1776209320.987166,460,-0.33475378155708313
1776210657.061038,470,-0.38178756833076477
1776211992.9046206,480,-0.3753279447555542
1776213328.5535567,490,-0.4006926119327545
1776214664.3564415,500,-0.45276758074760437
1776215999.5958073,510,-0.494851291179657
1776217335.503121,520,-0.5313467383384705
1776218671.8256485,530,-0.5764234662055969
1776220007.0611835,540,-0.5960904955863953
1776221342.4303396,550,-0.6000867486000061
1776222677.9832113,560,-0.5939546227455139
1776224014.5888124,570,-0.5768831968307495
1776225350.8898735,580,-0.6574463844299316
1776226686.637647,590,-0.630888044834137
1776228022.4787486,600,-0.594190776348114
1776229358.5140638,610,-0.589110255241394
1776230694.6357605,620,-0.6096031069755554
1776232031.0982168,630,-0.701068103313446
1776233367.2623029,640,-0.7493125796318054
1776234703.092707,650,-0.7774813175201416
1776236039.312112,660,-0.7706081867218018
1776237376.0023324,670,-0.7635290622711182
1776238712.9470341,680,-0.7817065119743347
1776240049.2047615,690,-0.8895416259765625
1776241385.6647677,700,-1.034462332725525
1776242722.4825027,710,-0.8147954940795898
1776244058.7913902,720,-0.6479745507240295
1776245396.1210217,730,-0.6191666126251221
1776246732.2936292,740,-0.5724719166755676
1776248068.8099709,750,-0.6084999442100525
1776249405.0831661,760,-0.6607520580291748
1776250741.24353,770,-0.7434006929397583
1776252077.5891562,780,-0.8591715693473816
1776253413.7335489,790,-0.8782689571380615
1776254750.1931806,800,-0.8762316703796387
1776256086.1690319,810,-0.9067959785461426
1776257422.2159894,820,-0.9658365249633789
