Wall time,Step,Value
1776147855.27551,0,0.0
1776149190.5712519,10,0.0003631681320257485
1776150526.8734663,20,0.00013118372589815408
1776151861.1485603,30,-0.00037775057717226446
1776153197.6336262,40,-0.00016982860688585788
1776154534.5562391,50,0.0007883418584242463
1776155870.807898,60,-0.001514076255261898
1776157206.6609917,70,0.0006070204544812441
1776158543.5111556,80,-0.00038982185651548207
1776159881.1880739,90,0.0010551628656685352
1776161217.7155077,100,0.0006974728894419968
1776162554.1420724,110,0.002652924507856369
1776163890.9824686,120,0.0034058650489896536
1776165227.5124338,130,0.0036457746755331755
1776166562.8170033,140,0.004853947088122368
1776167899.5879524,150,0.0066901580430567265
1776169236.6355946,160,0.0070624444633722305
1776170572.9880962,170,0.004540828987956047
1776171908.7128565,180,0.0005094941006973386
1776173245.428127,190,-0.008255820721387863
1776174581.8183682,200,-0.020525207743048668
1776175918.1706262,210,-0.03291105479001999
1776177255.1263397,220,-0.04476648569107056
1776178591.0872288,230,-0.054624442011117935
1776179926.132658,240,-0.07137003540992737
1776181262.6812227,250,-0.08553513884544373
1776182599.2310126,260,-0.10342085361480713
1776183935.261997,270,-0.11778372526168823
1776185270.9408355,280,-0.13111837208271027
1776186607.6303825,290,-0.14086030423641205
1776187944.384379,300,-0.16155681014060974
1776189280.8284457,310,-0.17468643188476562
1776190617.2808332,320,-0.18846778571605682
1776191953.956531,330,-0.20232877135276794
1776193290.5649483,340,-0.21049340069293976
1776194625.9743884,350,-0.2243247926235199
1776195961.6480665,360,-0.2447088062763214
1776197296.8338807,370,-0.2689439356327057
1776198631.9931087,380,-0.30181416869163513
1776199969.3032131,390,-0.31569308042526245
1776201305.2158055,400,-0.3326939046382904
1776202640.7974606,410,-0.36498668789863586
1776203976.5400124,420,-0.40894684195518494
1776205313.077742,430,-0.44871971011161804
1776206648.4089901,440,-0.4701656103134155
1776207984.883398,450,-0.4972994327545166
1776209320.9871762,460,-0.5641452074050903
1776210657.061049,470,-0.6201163530349731
1776211992.9046316,480,-0.6178584098815918
1776213328.5535672,490,-0.6499873995780945
1776214664.356452,500,-0.7147950530052185
1776215999.5958178,510,-0.769830048084259
1776217335.5031314,520,-0.8243715763092041
1776218671.82566,530,-0.8863946199417114
1776220007.0611937,540,-0.9123848080635071
1776221342.43035,550,-0.9225758910179138
1776222677.9832213,560,-0.9259354472160339
1776224014.588823,570,-0.9159853458404541
1776225350.8898845,580,-1.0095080137252808
1776226686.6376572,590,-0.9820957779884338
1776228022.4787588,600,-0.9498141407966614
1776229358.5140743,610,-0.9496341347694397
1776230694.635771,620,-0.9792160391807556
1776232031.0982273,630,-1.0880006551742554
1776233367.2623134,640,-1.1464693546295166
1776234703.0927176,650,-1.1869462728500366
1776236039.3121228,660,-1.1888971328735352
1776237376.002343,670,-1.181658148765564
1776238712.9470446,680,-1.1973977088928223
1776240049.204772,690,-1.3141250610351562
1776241385.6647785,700,-1.4732483625411987
1776242722.4825132,710,-1.253490924835205
1776244058.7914004,720,-1.0631771087646484
1776245396.1210322,730,-1.0348137617111206
1776246732.2936397,740,-0.981265127658844
1776248068.8099813,750,-1.0181788206100464
1776249405.0831766,760,-1.0674470663070679
1776250741.243541,770,-1.1587060689926147
1776252077.5891674,780,-1.289699912071228
1776253413.7335591,790,-1.3158038854599
1776254750.1931908,800,-1.3166944980621338
1776256086.169045,810,-1.3543084859848022
1776257422.2159998,820,-1.4307332038879395
