Wall time,Step,Value
1776147858.0375586,1,-2.470736026763916
1776147880.0243788,10,-2.3900506496429443
1776149215.9299173,20,-2.3955674171447754
1776150550.2444472,30,-2.397230386734009
1776151886.443746,40,-2.4392597675323486
1776153223.4062634,50,-2.422994613647461
1776154559.2413273,60,-2.369147539138794
1776155895.021537,70,-2.3989832401275635
1776157231.8916724,80,-2.4469945430755615
1776158569.5166945,90,-2.387559413909912
1776159905.992887,100,-2.389568328857422
1776161242.4714358,110,-2.4364285469055176
1776162579.2113347,120,-2.463101625442505
1776163915.6103373,130,-2.4079060554504395
1776165250.9684083,140,-2.442075252532959
1776166587.728477,150,-2.5050199031829834
1776167924.1292222,160,-2.3808610439300537
1776169261.063981,170,-2.4443135261535645
1776170596.7835193,180,-2.530973196029663
1776171933.3846757,190,-2.5101256370544434
1776173269.7671874,200,-2.5382602214813232
1776174606.507352,210,-2.562206268310547
1776175943.621282,220,-2.5073623657226562
1776177279.6985714,230,-2.5732181072235107
1776178614.8295991,240,-2.602102518081665
1776179950.7044802,250,-2.5736470222473145
1776181287.2449515,260,-2.6663968563079834
1776182623.3411956,270,-2.6444735527038574
1776183959.0024056,280,-2.6236226558685303
1776185295.5052936,290,-2.63883638381958
1776186632.0839953,300,-2.6534006595611572
1776187968.7022648,310,-2.671849012374878
1776189305.6443691,320,-2.6948390007019043
1776190642.6639354,330,-2.6602606773376465
1776191979.0541716,340,-2.688478469848633
1776193314.5561936,350,-2.6810338497161865
1776194650.3441184,360,-2.7012271881103516
1776195985.5176487,370,-2.7172598838806152
1776197320.6941645,380,-2.7474076747894287
1776198657.8345866,390,-2.667067766189575
1776199993.539801,400,-2.7618255615234375
1776201329.41129,410,-2.825526714324951
1776202665.1633072,420,-2.7507195472717285
1776204001.4741528,430,-2.743215322494507
1776205336.9316237,440,-2.7671761512756348
1776206673.462369,450,-2.7578396797180176
1776208009.4134927,460,-2.777362585067749
1776209345.7347481,470,-2.7276861667633057
1776210681.2876644,480,-2.735410213470459
1776212016.9656034,490,-2.7427191734313965
1776213353.0523133,500,-2.728243350982666
1776214688.2859674,510,-2.8305881023406982
1776216024.1131465,520,-2.810969829559326
1776217360.3332222,530,-2.88348388671875
1776218695.7374828,540,-2.8336479663848877
1776220030.9858253,550,-2.8392155170440674
1776221366.6859033,560,-2.8667595386505127
1776222702.920878,570,-2.827435255050659
1776224039.302376,580,-2.8068742752075195
1776225375.2308664,590,-2.7866508960723877
1776226711.0270605,600,-2.756575584411621
1776228047.0244231,610,-2.78212571144104
1776229383.1209192,620,-2.6901557445526123
1776230719.6015434,630,-2.7258450984954834
1776232055.8078535,640,-2.7706477642059326
1776233391.490368,650,-2.714418411254883
1776234727.581669,660,-2.7606687545776367
1776236064.305774,670,-2.805675983428955
1776237401.2240899,680,-2.8476409912109375
1776238737.4779649,690,-2.8689610958099365
1776240073.8784213,700,-2.9061686992645264
1776241410.6401014,710,-2.889411449432373
1776242747.0151901,720,-2.821981906890869
1776244084.4932983,730,-2.767338275909424
1776245420.6435523,740,-2.795536518096924
1776246757.1961746,750,-2.7522435188293457
1776248093.441191,760,-2.739530086517334
1776249429.3751,770,-2.76365065574646
1776250765.822875,780,-2.7531824111938477
1776252101.9629805,790,-2.845698833465576
1776253438.3939362,800,-2.8304789066314697
1776254774.4814065,810,-2.895918607711792
1776256110.3535628,820,-2.946756601333618
