Wall time,Step,Value
1776147858.0375762,1,-2.5224666595458984
1776147880.024389,10,-2.3901400566101074
1776149215.9299276,20,-2.456270217895508
1776150550.2444572,30,-2.415598154067993
1776151886.4437563,40,-2.4425034523010254
1776153223.4062736,50,-2.4332642555236816
1776154559.241338,60,-2.4955875873565674
1776155895.0215473,70,-2.414397716522217
1776157231.8916824,80,-2.4774129390716553
1776158569.516705,90,-2.4324004650115967
1776159905.9928973,100,-2.435128927230835
1776161242.4714458,110,-2.443760395050049
1776162579.211345,120,-2.482734441757202
1776163915.6103473,130,-2.4792561531066895
1776165250.9684188,140,-2.425877332687378
1776166587.728487,150,-2.525786876678467
1776167924.1292326,160,-2.4638142585754395
1776169261.0639918,170,-2.537320375442505
1776170596.7835295,180,-2.527012586593628
1776171933.384686,190,-2.574108362197876
1776173269.7671976,200,-2.569463014602661
1776174606.5073621,210,-2.5662999153137207
1776175943.621292,220,-2.5488059520721436
1776177279.6985817,230,-2.5841736793518066
1776178614.8296094,240,-2.6175360679626465
1776179950.7044902,250,-2.570627212524414
1776181287.2449615,260,-2.6680808067321777
1776182623.3412056,270,-2.671703815460205
1776183959.0024157,280,-2.7020576000213623
1776185295.505304,290,-2.676774501800537
1776186632.0840056,300,-2.6794192790985107
1776187968.7022755,310,-2.748648166656494
1776189305.6443791,320,-2.7513012886047363
1776190642.6639454,330,-2.7038052082061768
1776191979.0541818,340,-2.7283637523651123
1776193314.5562043,350,-2.708873748779297
1776194650.3441286,360,-2.7790920734405518
1776195985.517659,370,-2.752117872238159
1776197320.6941745,380,-2.7889535427093506
1776198657.8345969,390,-2.715947389602661
1776199993.5398111,400,-2.7685532569885254
1776201329.4113002,410,-2.819045305252075
1776202665.1633174,420,-2.786695718765259
1776204001.474163,430,-2.8467392921447754
1776205336.931634,440,-2.826209306716919
1776206673.4623792,450,-2.78141188621521
1776208009.4135027,460,-2.841977119445801
1776209345.7347584,470,-2.7769994735717773
1776210681.287675,480,-2.8124306201934814
1776212016.9656134,490,-2.814526319503784
1776213353.052327,500,-2.7787866592407227
1776214688.2859774,510,-2.8895103931427
1776216024.1131597,520,-2.858433961868286
1776217360.3332324,530,-2.9641261100769043
1776218695.737493,540,-2.8936524391174316
1776220030.9858356,550,-2.917778968811035
1776221366.6859138,560,-2.955928087234497
1776222702.9208887,570,-2.883596420288086
1776224039.3023868,580,-2.847878932952881
1776225375.230878,590,-2.8515169620513916
1776226711.0270705,600,-2.8290674686431885
1776228047.0244334,610,-2.8761229515075684
1776229383.1209292,620,-2.8026492595672607
1776230719.6015537,630,-2.8326780796051025
1776232055.8078637,640,-2.7995736598968506
1776233391.4903781,650,-2.84743070602417
1776234727.581679,660,-2.8649895191192627
1776236064.3057933,670,-2.8389673233032227
1776237401.2240999,680,-2.8741118907928467
1776238737.4779751,690,-2.895904064178467
1776240073.8784313,700,-2.9935097694396973
1776241410.6401114,710,-3.0025486946105957
1776242747.0152001,720,-2.883577823638916
1776244084.4933083,730,-2.787182569503784
1776245420.6435626,740,-2.847440719604492
1776246757.1961846,750,-2.8045642375946045
1776248093.4412012,760,-2.7897658348083496
1776249429.37511,770,-2.830531597137451
1776250765.822885,780,-2.829699754714966
1776252101.9629908,790,-2.9314486980438232
1776253438.3939466,800,-2.9771456718444824
1776254774.4814165,810,-2.9869918823242188
1776256110.3535728,820,-3.0527381896972656
