Wall time,Step,Value
1776147858.0375223,1,-62.32887268066406
1776147880.0243576,10,-59.40054702758789
1776149215.9298964,20,-59.582618713378906
1776150550.244427,30,-58.84816360473633
1776151886.4437256,40,-56.38871383666992
1776153223.406243,50,-58.22993087768555
1776154559.2413058,60,-59.72220993041992
1776155895.0215166,70,-60.97300338745117
1776157231.8916516,80,-63.220130920410156
1776158569.516674,90,-60.66498947143555
1776159905.9928668,100,-60.09345626831055
1776161242.4714155,110,-60.39695358276367
1776162579.2113142,120,-62.80403518676758
1776163915.6103168,130,-58.21870803833008
1776165250.9683874,140,-60.10515213012695
1776166587.7284563,150,-60.367713928222656
1776167924.1292014,160,-59.04729461669922
1776169261.0639591,170,-59.804649353027344
1776170596.7834985,180,-61.290367126464844
1776171933.384655,190,-60.53974533081055
1776173269.767167,200,-60.364166259765625
1776174606.5073318,210,-60.01027297973633
1776175943.6212618,220,-59.79752731323242
1776177279.6985505,230,-60.25993728637695
1776178614.829579,240,-57.01757049560547
1776179950.7044601,250,-61.370208740234375
1776181287.2449305,260,-61.76856231689453
1776182623.341175,270,-60.30641555786133
1776183959.0023851,280,-58.70933151245117
1776185295.5052688,290,-59.88048553466797
1776186632.0839746,300,-60.29555130004883
1776187968.7022438,310,-58.5267333984375
1776189305.6443486,320,-58.176910400390625
1776190642.6639156,330,-61.47315216064453
1776191979.054151,340,-62.5067138671875
1776193314.5561726,350,-59.898681640625
1776194650.3440979,360,-59.81489181518555
1776195985.5176277,370,-58.05927276611328
1776197320.6941435,380,-61.14543914794922
1776198657.834566,390,-59.17637252807617
1776199993.5397694,400,-61.6493034362793
1776201329.4112687,410,-61.036163330078125
1776202665.1632874,420,-62.416709899902344
1776204001.4741325,430,-60.37725830078125
1776205336.9316032,440,-60.23835372924805
1776206673.4623475,450,-64.07380676269531
1776208009.4134724,460,-62.359161376953125
1776209345.7347271,470,-63.976654052734375
1776210681.2876427,480,-61.55816650390625
1776212016.9655828,490,-67.87535095214844
1776213353.0522907,500,-67.33396911621094
1776214688.2859468,510,-64.66412353515625
1776216024.113126,520,-67.28292846679688
1776217360.3332016,530,-67.2015151977539
1776218695.7374625,540,-67.65617370605469
1776220030.9858043,550,-69.9177474975586
1776221366.685883,560,-64.83561706542969
1776222702.9208572,570,-66.00239562988281
1776224039.3023543,580,-67.15966033935547
1776225375.2308447,590,-66.8058090209961
1776226711.0270402,600,-68.90345764160156
1776228047.0244017,610,-65.9580078125
1776229383.120899,620,-67.5894775390625
1776230719.6015234,630,-69.43653869628906
1776232055.8078332,640,-66.86681365966797
1776233391.4903479,650,-68.79743957519531
1776234727.5816488,660,-72.02058410644531
1776236064.305754,670,-68.87983703613281
1776237401.2240696,680,-71.35414123535156
1776238737.4779441,690,-70.19322967529297
1776240073.8783977,700,-71.27333068847656
1776241410.6400812,710,-73.81106567382812
1776242747.0151699,720,-73.04707336425781
1776244084.4932778,730,-68.14369201660156
1776245420.6435318,740,-69.43614196777344
1776246757.1961544,750,-67.85098266601562
1776248093.4411697,760,-68.67833709716797
1776249429.3750796,770,-66.8436050415039
1776250765.8228548,780,-69.79322814941406
1776252101.9629605,790,-69.70516204833984
1776253438.3939157,800,-69.94035339355469
1776254774.4813845,810,-70.21644592285156
1776256110.353542,820,-70.22242736816406
