Wall time,Step,Value
1776147858.0375404,1,-49.323753356933594
1776147880.0243685,10,-57.90437316894531
1776149215.929907,20,-56.23405838012695
1776150550.2444372,30,-58.86003875732422
1776151886.443736,40,-56.121543884277344
1776153223.4062533,50,-58.23677444458008
1776154559.2413166,60,-59.76366424560547
1776155895.0215268,70,-58.307044982910156
1776157231.8916621,80,-58.99336624145508
1776158569.5166843,90,-57.67353057861328
1776159905.992877,100,-59.98075485229492
1776161242.4714258,110,-55.772361755371094
1776162579.2113245,120,-60.0440788269043
1776163915.610327,130,-55.624176025390625
1776165250.968398,140,-52.382179260253906
1776166587.7284665,150,-60.797828674316406
1776167924.1292117,160,-57.02962112426758
1776169261.06397,170,-59.4664421081543
1776170596.783509,180,-59.20886993408203
1776171933.3846653,190,-56.66114044189453
1776173269.767177,200,-56.249244689941406
1776174606.507342,210,-58.717864990234375
1776175943.6212718,220,-58.860443115234375
1776177279.698561,230,-58.19710159301758
1776178614.829589,240,-58.12091064453125
1776179950.70447,250,-60.20507049560547
1776181287.2449408,260,-59.228614807128906
1776182623.3411853,270,-59.63990020751953
1776183959.0023954,280,-58.56726837158203
1776185295.5052795,290,-60.3549690246582
1776186632.0839849,300,-59.70192337036133
1776187968.7022545,310,-63.37318801879883
1776189305.6443589,320,-58.5143928527832
1776190642.6639254,330,-61.4781608581543
1776191979.0541613,340,-61.796409606933594
1776193314.5561829,350,-58.0474967956543
1776194650.344108,360,-62.65388107299805
1776195985.5176382,370,-62.73350143432617
1776197320.694154,380,-62.15068435668945
1776198657.8345764,390,-58.858154296875
1776199993.5397887,400,-60.414398193359375
1776201329.4112794,410,-62.687828063964844
1776202665.1632972,420,-61.26612091064453
1776204001.4741428,430,-60.31682586669922
1776205336.9316134,440,-63.32085418701172
1776206673.462358,450,-63.13165283203125
1776208009.4134824,460,-63.763832092285156
1776209345.7347379,470,-65.86375427246094
1776210681.2876537,480,-66.02946472167969
1776212016.965593,490,-63.87617111206055
1776213353.0523007,500,-64.69514465332031
1776214688.2859573,510,-68.50096130371094
1776216024.1131363,520,-66.37279510498047
1776217360.333212,530,-69.51899719238281
1776218695.7374725,540,-65.15542602539062
1776220030.9858148,550,-68.92936706542969
1776221366.6858933,560,-68.69749450683594
1776222702.9208674,570,-68.04811096191406
1776224039.3023653,580,-66.53687286376953
1776225375.2308555,590,-70.38026428222656
1776226711.0270505,600,-70.63139343261719
1776228047.024412,610,-69.31627655029297
1776229383.1209092,620,-70.28719329833984
1776230719.6015334,630,-70.67231750488281
1776232055.8078434,640,-69.94996643066406
1776233391.490358,650,-70.71500396728516
1776234727.581659,660,-70.17950439453125
1776236064.3057637,670,-71.5941162109375
1776237401.2240796,680,-69.18376922607422
1776238737.4779544,690,-71.12870025634766
1776240073.8784108,700,-73.22163391113281
1776241410.6400914,710,-76.29743957519531
1776242747.01518,720,-72.96168518066406
1776244084.493288,730,-70.33782958984375
1776245420.643542,740,-72.08000183105469
1776246757.1961646,750,-68.87774658203125
1776248093.4411807,760,-70.30450439453125
1776249429.3750896,770,-70.37994384765625
1776250765.822865,780,-72.75299072265625
1776252101.9629703,790,-72.92030334472656
1776253438.393926,800,-71.03921508789062
1776254774.4813955,810,-73.19525146484375
1776256110.3535526,820,-72.27439880371094
