Wall time,Step,Value
1776147858.037468,1,0.0
1776147880.0243266,10,-0.001031857100315392
1776149215.9298635,20,0.001202516257762909
1776150550.2443962,30,-0.0029576111119240522
1776151886.4436948,40,0.0006948636146262288
1776153223.4062123,50,-0.0020982311107218266
1776154559.2412734,60,-0.0006164133665151894
1776155895.0214853,70,-0.0022609224542975426
1776157231.8916197,80,0.0023454627953469753
1776158569.516643,90,0.0007516210898756981
1776159905.9928355,100,0.0009342754492536187
1776161242.4713848,110,0.0001531377201899886
1776162579.211283,120,-5.347842670744285e-05
1776163915.6102858,130,-0.0005806774133816361
1776165250.9683557,140,-0.004572493489831686
1776166587.728425,150,-0.0007794051198288798
1776167924.12917,160,-0.004741411190479994
1776169261.0639257,170,-0.007668620906770229
1776170596.783467,180,-0.01576206646859646
1776171933.3846238,190,-0.03332313895225525
1776173269.7671351,200,-0.041827090084552765
1776174606.5073006,210,-0.04995504766702652
1776175943.6212265,220,-0.0834650993347168
1776177279.6985185,230,-0.10122357308864594
1776178614.8295474,240,-0.13374800980091095
1776179950.7044294,250,-0.12312257289886475
1776181287.2448995,260,-0.17440375685691833
1776182623.341144,270,-0.18332810699939728
1776183959.002354,280,-0.17203600704669952
1776185295.5052373,290,-0.1908930242061615
1776186632.0839427,300,-0.22322063148021698
1776187968.7022107,310,-0.23474738001823425
1776189305.6443172,320,-0.22331607341766357
1776190642.6638846,330,-0.26486262679100037
1776191979.0541186,340,-0.2616485059261322
1776193314.5561402,350,-0.29901888966560364
1776194650.3440669,360,-0.34450650215148926
1776195985.517596,370,-0.33962589502334595
1776197320.6941123,380,-0.3560892343521118
1776198657.8345354,390,-0.36261796951293945
1776199993.5397384,400,-0.4306628108024597
1776201329.4112363,410,-0.44552677869796753
1776202665.1632562,420,-0.4672560691833496
1776204001.474102,430,-0.5158488154411316
1776205336.931572,440,-0.5500530004501343
1776206673.4623146,450,-0.5591411590576172
1776208009.4134414,460,-0.6268342733383179
1776209345.734693,470,-0.726625919342041
1776210681.2876098,480,-0.7686578631401062
1776212016.9655514,490,-0.7394016981124878
1776213353.0522583,500,-0.804313063621521
1776214688.285916,510,-0.8993734121322632
1776216024.1130948,520,-0.9090062975883484
1776217360.3331704,530,-0.9854175448417664
1776218695.7374315,540,-1.0283710956573486
1776220030.9857557,550,-1.0459492206573486
1776221366.685852,560,-1.0684001445770264
1776222702.9208255,570,-1.0280920267105103
1776224039.3023221,580,-1.1452034711837769
1776225375.230812,590,-1.1163785457611084
1776226711.0270097,600,-1.1564699411392212
1776228047.0243711,610,-1.217463731765747
1776229383.1208687,620,-1.086182951927185
1776230719.6014924,630,-1.2357978820800781
1776232055.8078022,640,-1.2212440967559814
1776233391.4903142,650,-1.356337547302246
1776234727.5816176,660,-1.329627275466919
1776236064.3057227,670,-1.312164545059204
1776237401.2240388,680,-1.3543598651885986
1776238737.477913,690,-1.3862041234970093
1776240073.8783662,700,-1.6058063507080078
1776241410.6400504,710,-1.5846178531646729
1776242747.015139,720,-1.2849637269973755
1776244084.4932466,730,-1.2570312023162842
1776245420.6435008,740,-1.1066715717315674
1776246757.1961236,750,-1.2817156314849854
1776248093.4411387,760,-1.0830152034759521
1776249429.3750486,770,-1.2876123189926147
1776250765.8228238,780,-1.3885915279388428
1776252101.9629292,790,-1.4946630001068115
1776253438.3938825,800,-1.534067153930664
1776254774.4813533,810,-1.5527667999267578
1776256110.353511,820,-1.6009321212768555
