Wall time,Step,Value
1776319398.6842387,5,-0.002827693708240986
1776319468.398006,15,-0.0033672258723527193
1776319475.561916,16,-0.003585697850212455
1776319495.3375719,19,-0.0026819235645234585
1776319502.067769,20,-0.0023998296819627285
1776319509.2502706,21,-0.00345719326287508
1776319522.8318765,23,-0.0029641548171639442
1776319550.1674302,27,-0.0028624841943383217
1776319556.5424325,28,-0.0037810010835528374
1776319644.3729231,41,-0.013305919244885445
1776319689.7557814,48,-0.04015974700450897
1776319696.0218844,49,-0.022740602493286133
1776319702.389419,50,-0.00483639445155859
1776319715.0656843,52,-0.7815672755241394
1776319733.2156575,55,-0.01267124805599451
1776319773.7295449,61,-0.018334945663809776
1776319780.1880996,62,-0.016145236790180206
1776319787.2705543,63,-0.013127936981618404
1776319793.4361932,64,-0.008104439824819565
1776319814.2974484,67,-0.009983619675040245
1776319820.8133466,68,-0.02567927911877632
1776319827.1235583,69,-0.012498611584305763
1776319840.8941226,71,-0.014791700057685375
1776319847.6068738,72,-0.04549604281783104
1776319886.026141,78,-0.05789600685238838
1776319917.4808207,83,-0.037284981459379196
1776319965.1901274,90,-0.04440808296203613
1776320029.2514608,100,-0.04619043320417404
1776320054.4720042,104,-0.07007814943790436
1776320073.0940375,107,-0.050134867429733276
1776320079.1246722,108,-0.06270913779735565
1776320091.7795143,110,-0.12226797640323639
1776320136.010622,117,-0.048999007791280746
1776320168.1281035,122,-0.11835511773824692
1776320193.5030315,126,-0.13257864117622375
1776320200.1590981,127,-0.09622737020254135
1776320212.5379226,129,-0.13823190331459045
1776320226.2062812,131,-0.09619227796792984
1776320264.26364,137,-0.2563706636428833
1776320270.3004875,138,-0.4053422510623932
1776320315.4417539,145,-0.1804228127002716
1776320328.3037198,147,-0.34289634227752686
1776320335.0464537,148,-0.4631044268608093
1776320354.879552,151,-0.41892898082733154
1776320400.866601,158,-0.21180908381938934
1776320420.0455782,161,-0.32188400626182556
1776320433.99938,163,-0.5290489196777344
1776320447.2672706,165,-0.588464617729187
1776320490.270554,171,-0.4803449511528015
1776320496.5076885,172,-0.5392546653747559
1776320503.5406673,173,-0.5404715538024902
1776320536.4706092,178,-0.43695327639579773
1776320579.9635484,185,-0.7909125089645386
1776320586.3220348,186,-1.197246789932251
1776320592.4289043,187,-0.8937541246414185
1776320618.2027655,191,-0.8589345216751099
1776320624.6624596,192,-0.9911011457443237
1776320631.4860353,193,-0.7122597694396973
1776320675.6222894,200,-1.1072072982788086
1776320695.3984458,203,-1.4889886379241943
1776320701.6839254,204,-1.9643198251724243
1776320708.2682135,205,-1.3574652671813965
1776320714.3834746,206,-1.631624460220337
1776320727.3296146,208,-1.5755343437194824
1776320753.8552618,212,-1.4231839179992676
1776320766.3548386,214,-1.4243979454040527
1776320779.0119195,216,-1.8188731670379639
1776320804.1454558,220,-1.750822901725769
1776320810.1909542,221,-2.3948307037353516
1776320816.2646477,222,-1.809693455696106
1776320835.4933028,225,-2.2199490070343018
1776320866.5620759,230,-2.462286949157715
1776320930.116903,240,-2.5730791091918945
1776320962.75381,245,-2.2045483589172363
1776320969.7010596,246,-2.376556873321533
1776320975.4137442,247,-2.7123398780822754
1776321055.5803807,259,-1.527237892150879
1776321061.9191225,260,-1.3062446117401123
1776321068.965878,261,-2.5138192176818848
1776321141.3865485,272,-1.8843441009521484
1776321160.8474805,275,-1.5313949584960938
1776321174.3137665,277,-1.366923451423645
1776321187.086863,279,-1.9555740356445312
1776321214.7788284,283,-2.469008684158325
1776321233.796444,286,-2.225893259048462
1776321253.6261537,289,-1.0698552131652832
1776321266.0983465,291,-1.267754316329956
1776321298.0093105,296,-1.750389814376831
1776321311.5123096,298,-1.1665380001068115
1776321318.4083178,299,-1.4893467426300049
1776321370.3968213,307,-1.4671854972839355
1776321382.8668416,309,-1.876352310180664
1776321410.327111,313,-1.4884587526321411
1776321437.465186,317,-2.084071159362793
1776321450.3139703,319,-1.393669843673706
1776321456.382115,320,-1.428295373916626
1776321476.0821538,323,-2.1560378074645996
1776321572.4173427,338,-2.9201645851135254
1776321579.4558287,339,-1.9923474788665771
1776321612.5601954,344,-3.2257091999053955
1776321625.7108655,346,-3.3943538665771484
1776321632.609596,347,-3.2478737831115723
1776321675.463985,353,-3.345776081085205
1776321687.9502783,355,-2.676058292388916
1776321715.2061012,359,-3.395453929901123
1776321741.6421902,363,-2.735163688659668
1776321748.187472,364,-3.0614213943481445
1776321754.188789,365,-2.642971992492676
1776321760.5087185,366,-2.3186769485473633
1776321767.642047,367,-2.6920876502990723
1776321774.086075,368,-3.168274402618408
1776321847.9064398,379,-2.9482531547546387
1776321901.529647,387,-2.3635315895080566
1776321928.6713867,391,-2.8467154502868652
1776321941.2995906,393,-2.1520354747772217
1776321954.4721222,395,-2.109682083129883
1776321974.1239269,398,-2.1312499046325684
1776322007.7249482,403,-2.0315117835998535
1776322019.9481003,405,-2.307652235031128
1776322051.8609927,410,-2.1456828117370605
1776322086.2902546,415,-2.0067758560180664
1776322092.2292516,416,-2.244070529937744
1776322130.1161962,422,-2.3048973083496094
1776322136.2540069,423,-1.533121109008789
1776322161.2835536,427,-2.7876691818237305
1776322187.4560623,431,-2.094555616378784
1776322220.47955,436,-3.0495858192443848
1776322227.2534664,437,-2.275768280029297
1776322234.1058593,438,-1.8664617538452148
1776322246.4069889,440,-1.665358304977417
1776322272.2028673,444,-2.161184787750244
1776322278.1215632,445,-1.8029677867889404
1776322290.8766096,447,-1.825761079788208
1776322316.4959085,451,-2.0881600379943848
1776322329.2912507,453,-1.8240681886672974
1776322353.810727,457,-2.7169089317321777
1776322385.4754322,462,-3.013371706008911
1776322411.472512,466,-4.516031742095947
1776322417.457919,467,-2.8150269985198975
1776322429.6653056,469,-2.422455310821533
1776322443.0416443,471,-2.600780487060547
1776322468.3482358,475,-2.85447359085083
1776322474.7041254,476,-2.6326847076416016
1776322506.4862902,481,-2.56044864654541
1776322513.221888,482,-2.1468052864074707
1776322554.2769184,488,-7.059210777282715
1776322567.3859348,490,-2.3752479553222656
1776322599.9653041,495,-2.142810821533203
1776322626.7388756,499,-1.8649585247039795
1776322702.519134,510,-1.8671809434890747
1776322709.9793515,511,-2.011247158050537
1776322716.3462381,512,-2.13742995262146
1776322722.4279335,513,-2.0709786415100098
1776322728.8989985,514,-2.233574151992798
1776322736.067119,515,-4.029051780700684
1776322755.2687693,518,-1.9736218452453613
1776322761.8802059,519,-2.1107735633850098
1776322769.1805356,520,-2.679520845413208
1776322864.8685782,534,-2.21000075340271
1776322872.0289183,535,-1.7520568370819092
1776322885.5647647,537,-2.262800693511963
1776322892.1570086,538,-2.4125783443450928
1776322899.5556412,539,-2.4526619911193848
1776322913.155273,541,-2.180011749267578
1776322926.2003138,543,-1.852327823638916
1776322939.9324048,545,-2.2754263877868652
1776322953.435769,547,-1.739964246749878
1776322980.3928893,551,-1.825736165046692
1776322993.7027948,553,-1.7025692462921143
1776323015.0758479,556,-1.6972076892852783
1776323021.77511,557,-1.9231338500976562
1776323061.296756,563,-1.624763011932373
1776323073.663737,565,-1.9342215061187744
1776323100.0350268,569,-2.1847305297851562
1776323120.0299459,572,-1.9108545780181885
1776323131.987102,574,-1.728370189666748
1776323203.1993244,585,-1.558376431465149
1776323209.803897,586,-2.008462429046631
1776323229.3927348,589,-1.5060720443725586
1776323242.399827,591,-2.056886672973633
1776323248.3871932,592,-1.3734278678894043
1776323267.780023,595,-1.5730549097061157
1776323280.9809334,597,-1.747220516204834
1776323320.752567,603,-1.856412410736084
1776323327.6412766,604,-1.8902161121368408
1776323359.9894028,609,-2.2568984031677246
1776323392.3683844,614,-1.739450216293335
1776323398.9397995,615,-1.6949421167373657
1776323411.8432472,617,-1.8282995223999023
1776323450.0238988,623,-1.5987781286239624
1776323457.1517313,624,-2.7329013347625732
1776323476.2698135,627,-1.7734301090240479
1776323488.4366713,629,-1.7310621738433838
1776323494.7690773,630,-2.528632402420044
1776323522.2161078,634,-1.192600131034851
1776323549.0553162,638,-1.4388911724090576
1776323569.7288034,641,-1.4799189567565918
1776323583.2710528,643,-1.45753812789917
1776323589.4072826,644,-2.017516851425171
1776323595.7652404,645,-1.2674534320831299
1776323628.1954062,650,-3.169386863708496
1776323641.2082002,652,-1.5205602645874023
1776323667.0768557,656,-4.670422554016113
1776323686.7224958,659,-1.2390245199203491
1776323700.7486577,661,-1.9306567907333374
1776323746.7815516,668,-1.4802066087722778
1776323765.9228325,671,-1.2972278594970703
1776323798.7736776,676,-1.4911766052246094
1776323805.0382364,677,-1.2735326290130615
1776323832.7542484,681,-0.8963283896446228
1776323858.7576668,685,-1.6931920051574707
1776323911.2415476,693,-1.2803664207458496
1776323923.5615907,695,-1.3813586235046387
1776323935.97565,697,-1.4040635824203491
1776323944.7327697,698,-1.5031200647354126
1776323957.4607742,700,-1.4806803464889526
1776323977.8195682,703,-1.257063627243042
1776324031.7395163,711,-1.3233851194381714
1776324064.286999,716,-1.142272710800171
1776324076.9479613,718,-4.307819366455078
1776324097.9897819,721,-1.2955443859100342
1776324104.3472047,722,-1.4437094926834106
1776324116.7097473,724,-1.518409013748169
1776324130.3466628,726,-1.9645071029663086
1776324137.2945514,727,-1.268568754196167
1776324150.9957266,729,-1.4248075485229492
1776324157.4719665,730,-1.6216025352478027
1776324171.5393083,732,-1.952966332435608
