Wall time,Step,Value
1776319398.684253,5,3.09375
1776319468.3980198,15,4.71875
1776319475.5619419,16,7.21875
1776319495.3376029,19,3.59375
1776319502.067783,20,4.40625
1776319509.250285,21,1.9921875
1776319522.831891,23,2.84375
1776319550.1674438,27,5.34375
1776319556.5424473,28,3.78125
1776319644.3729446,41,5.875
1776319689.7557957,48,0.427734375
1776319696.0218983,49,3.8125
1776319702.3894331,50,4.09375
1776319715.0656981,52,3.1875
1776319733.2156715,55,2.359375
1776319773.7295587,61,3.625
1776319780.1881166,62,3.171875
1776319787.2705681,63,3.15625
1776319793.4362075,64,4.6875
1776319814.2974644,67,3.578125
1776319820.8133607,68,4.125
1776319827.1235733,69,3.171875
1776319840.8941367,71,1.4765625
1776319847.6068885,72,1.9765625
1776319886.0261588,78,2.25
1776319917.4808347,83,5.8125
1776319965.190144,90,5.34375
1776320029.251481,100,6.46875
1776320054.472018,104,5.53125
1776320073.0940518,107,4.25
1776320079.1247199,108,5.71875
1776320091.7795286,110,5.5625
1776320136.0106404,117,5.09375
1776320168.128118,122,5.875
1776320193.5030458,126,0.8671875
1776320200.159112,127,5.0
1776320212.5379367,129,3.390625
1776320226.2062953,131,3.90625
1776320264.263654,137,6.0625
1776320270.3005075,138,2.65625
1776320315.4417734,145,7.3125
1776320328.303741,147,6.28125
1776320335.0464911,148,6.40625
1776320354.8795667,151,5.34375
1776320400.8666224,158,3.96875
1776320420.045631,161,5.75
1776320433.9993944,163,4.53125
1776320447.2672846,165,6.875
1776320490.270568,171,5.28125
1776320496.5077026,172,7.375
1776320503.5406904,173,4.21875
1776320536.4706233,178,4.0625
1776320579.9635649,185,6.0
1776320586.3220544,186,2.984375
1776320592.4289217,187,5.71875
1776320618.2027795,191,6.6875
1776320624.6624737,192,5.75
1776320631.4860866,193,5.28125
1776320675.6223078,200,5.15625
1776320695.3984597,203,5.4375
1776320701.6839406,204,5.03125
1776320708.2682276,205,2.859375
1776320714.3834884,206,6.875
1776320727.3296287,208,5.6875
1776320753.8552768,212,6.9375
1776320766.3548527,214,6.3125
1776320779.011934,216,6.46875
1776320804.1454701,220,4.6875
1776320810.1909683,221,5.5625
1776320816.2646616,222,5.84375
1776320835.493317,225,6.625
1776320866.5620902,230,5.59375
1776320930.1169279,240,6.0
1776320962.7538238,245,2.8125
1776320969.701086,246,4.1875
1776320975.4137952,247,4.4375
1776321055.5803945,259,5.78125
1776321061.9191368,260,5.40625
1776321068.9658923,261,1.7265625
1776321141.3865633,272,3.03125
1776321160.847494,275,5.03125
1776321174.31378,277,2.453125
1776321187.086877,279,2.375
1776321214.7788427,283,6.34375
1776321233.7964582,286,4.125
1776321253.626168,289,3.890625
1776321266.0983605,291,3.765625
1776321298.0093274,296,4.90625
1776321311.5123246,298,5.34375
1776321318.4083385,299,4.3125
1776321370.3968358,307,5.96875
1776321382.8668554,309,5.96875
1776321410.3271267,313,3.078125
1776321437.4652007,317,5.4375
1776321450.3139842,319,5.125
1776321456.3821294,320,4.90625
1776321476.0821679,323,6.25
1776321572.4173572,338,6.375
1776321579.4558513,339,5.40625
1776321612.5602338,344,5.34375
1776321625.7109003,346,3.46875
1776321632.6096098,347,3.734375
1776321675.4639988,353,4.1875
1776321687.9502919,355,5.34375
1776321715.2061486,359,3.234375
1776321741.642205,363,3.71875
1776321748.187487,364,6.25
1776321754.188805,365,4.625
1776321760.5087323,366,5.46875
1776321767.6420631,367,6.0625
1776321774.0860896,368,6.46875
1776321847.9064543,379,6.03125
1776321901.5296617,387,6.65625
1776321928.6714008,391,4.90625
1776321941.2996085,393,5.71875
1776321954.4721365,395,5.59375
1776321974.1239407,398,6.75
1776322007.7249708,403,6.1875
1776322019.9481142,405,6.75
1776322051.8610456,410,5.0
1776322086.2902694,415,3.328125
1776322092.2292657,416,5.28125
1776322130.1162233,422,6.5
1776322136.2540207,423,6.46875
1776322161.283568,427,5.8125
1776322187.4560761,431,6.34375
1776322220.479564,436,6.125
1776322227.2535193,437,4.5625
1776322234.1058745,438,5.8125
1776322246.4070032,440,7.3125
1776322272.2028818,444,5.75
1776322278.1215775,445,6.3125
1776322290.8766236,447,3.421875
1776322316.49595,451,1.96875
1776322329.291265,453,2.25
1776322353.81076,457,4.375
1776322385.4754462,462,4.90625
1776322411.4725263,466,7.03125
1776322417.457933,467,5.6875
1776322429.6653197,469,3.234375
1776322443.0416684,471,6.0625
1776322468.34825,475,3.0625
1776322474.7041395,476,6.6875
1776322506.486304,481,6.59375
1776322513.2219021,482,5.4375
1776322554.276942,488,5.5625
1776322567.385949,490,4.78125
1776322599.9653578,495,7.28125
1776322626.7388895,499,5.03125
1776322702.5191498,510,5.59375
1776322709.9793694,511,7.0
1776322716.3462558,512,4.78125
1776322722.42795,513,6.90625
1776322728.8990161,514,7.09375
1776322736.067157,515,4.34375
1776322755.2687836,518,6.90625
1776322761.88022,519,5.6875
1776322769.18055,520,5.96875
1776322864.8685925,534,6.0625
1776322872.0289369,535,5.75
1776322885.564797,537,7.25
1776322892.1570237,538,4.625
1776322899.5556645,539,6.3125
1776322913.155287,541,6.5
1776322926.2003284,543,5.28125
1776322939.9324186,545,5.5625
1776322953.435783,547,6.25
1776322980.3929036,551,6.40625
1776322993.7028217,553,7.125
1776323015.0758617,556,7.25
1776323021.7751253,557,6.0
1776323061.2967806,563,4.9375
1776323073.6637518,565,6.6875
1776323100.0350409,569,4.625
1776323120.029964,572,6.875
1776323131.9871182,574,4.34375
1776323203.1993403,585,5.28125
1776323209.803912,586,4.84375
1776323229.3927732,589,6.9375
1776323242.3998418,591,5.8125
1776323248.387208,592,6.21875
1776323267.7800417,595,4.4375
1776323280.9809475,597,4.34375
1776323320.7525833,603,4.4375
1776323327.641291,604,4.625
1776323359.989421,609,5.28125
1776323392.3683991,614,7.03125
1776323398.9398136,615,2.140625
1776323411.843261,617,5.9375
1776323450.0239131,623,4.90625
1776323457.1517458,624,4.78125
1776323476.2698278,627,5.96875
1776323488.4366853,629,5.78125
1776323494.7690914,630,6.875
1776323522.2161217,634,5.8125
1776323549.0553622,638,2.375
1776323569.7288175,641,3.234375
1776323583.2710786,643,4.90625
1776323589.4072971,644,5.46875
1776323595.7652545,645,6.8125
1776323628.1954198,650,5.03125
1776323641.2082143,652,6.65625
1776323667.076882,656,4.21875
1776323686.7225096,659,4.15625
1776323700.7486713,661,5.0625
1776323746.7815695,668,6.3125
