Wall time,Step,Value
1776319398.684577,5,8.544686238565191e-07
1776319468.398363,15,7.301896857825341e-06
1776319475.5623677,16,3.4794568364304723e-06
1776319495.3380325,19,1.1713601679730345e-06
1776319502.0681517,20,8.485408216074575e-07
1776319509.2506442,21,8.291088306577876e-06
1776319522.8322694,23,6.671800292679109e-06
1776319550.167791,27,6.22388370175031e-06
1776319556.5433567,28,2.4236874196503777e-06
1776319644.3737638,41,7.479522082576295e-06
1776319689.756146,48,1.7416724631402758e-06
1776319696.0222623,49,9.564555512042716e-06
1776319702.389787,50,4.403362709126668e-06
1776319715.0660532,52,2.2412450562114827e-06
1776319733.2160335,55,3.2326368000212824e-06
1776319773.7304494,61,1.0699985978135373e-05
1776319780.1885006,62,5.946260444034124e-06
1776319787.270923,63,4.945736236550147e-06
1776319793.4365604,64,1.679839328971866e-06
1776319814.29784,67,2.2230738068174105e-06
1776319820.8137093,68,7.0736664383730385e-06
1776319827.1239345,69,2.5266695047321264e-06
1776319840.8945086,71,1.6546774759262917e-06
1776319847.6072512,72,1.3253004908619914e-05
1776319886.026821,78,2.055843424386694e-06
1776319917.48131,83,1.1256255447733565e-06
1776319965.1905186,90,1.7072455875677406e-06
1776320029.2524116,100,9.59883527684724e-06
1776320054.4723864,104,8.992156836029608e-06
1776320073.0944245,107,1.807595367608883e-06
1776320079.125607,108,1.952756974787917e-06
1776320091.7798831,110,2.7346743536327267e-06
1776320136.0110083,117,3.018684822109208e-07
1776320168.1289546,122,8.724816211724828e-07
1776320193.5034025,126,1.3760739420831669e-05
1776320200.1594636,127,2.051185248319598e-07
1776320212.5382972,129,3.865121470880695e-06
1776320226.2066693,131,2.3255240648722975e-06
1776320264.264013,137,8.269110367109533e-06
1776320270.3011045,138,5.635529760183999e-06
1776320315.4427092,145,3.898898739862489e-06
1776320328.3041267,147,1.0052117431769148e-05
1776320335.0475295,148,1.3713720363739412e-05
1776320354.8799276,151,4.3696159082173835e-06
1776320400.8670192,158,2.3567170046590036e-06
1776320420.0464478,161,1.650576791689673e-06
1776320433.99975,163,2.4742179448367096e-05
1776320447.2676435,165,1.866460297605954e-05
1776320490.2714133,171,6.654101071035257e-06
1776320496.508289,172,1.529131054667232e-06
1776320503.5416794,173,1.3383477380557451e-05
1776320536.4709973,178,8.292502570839133e-06
1776320579.9644897,185,2.254006358270999e-05
