Wall time,Step,Value
1776342629.1648,1,0.26953125
1776342645.5952084,3,-2.015625
1776342652.2399664,4,1.0
1776342658.6970913,5,-0.294921875
1776342665.0324824,6,0.50390625
1776342678.839328,8,1.25
1776342692.3249846,10,0.5390625
1776342699.7237744,11,2.140625
1776342706.2687469,12,0.1640625
1776342719.902447,14,0.376953125
1776342727.0745835,15,-0.03125
1776342733.4809449,16,1.15625
1776342739.867915,17,-0.1748046875
1776342746.9831433,18,0.181640625
1776342753.3832989,19,-0.109375
1776342759.5485172,20,1.703125
1776342766.4003308,21,-0.07080078125
1776342773.007027,22,0.67578125
1776342779.7568376,23,0.396484375
1776342786.4733267,24,1.4375
1776342799.4758286,26,-0.208984375
1776342806.6377254,27,-0.1806640625
1776342813.037648,28,2.15625
1776342820.0196054,29,-0.16796875
1776342826.4280086,30,-0.08251953125
1776342833.5822685,31,-0.05029296875
1776342839.9772253,32,0.115234375
1776342847.0513117,33,1.578125
1776342853.5932066,34,2.15625
1776342860.5309596,35,1.5390625
1776342867.044131,36,0.84375
1776342873.9850252,37,0.98046875
1776342880.693293,38,-0.63671875
1776342887.644877,39,1.0625
1776342894.041684,40,-0.40625
1776342900.9785724,41,1.390625
1776342914.620179,43,-0.294921875
1776342921.6422195,44,-0.48828125
1776342943.0339217,47,2.359375
1776342949.3979683,48,1.75
1776342955.7974005,49,0.70703125
1776342962.972781,50,0.41796875
1776342970.606776,51,0.2333984375
1776342977.2732627,52,1.109375
1776342984.705039,53,1.15625
1776342992.0823395,54,0.9609375
1776342999.9589834,55,-0.2158203125
1776343006.6530337,56,0.91796875
1776343020.0777,58,0.98828125
1776343026.539982,59,1.4296875
1776343039.984731,61,1.6484375
1776343046.1868167,62,0.8828125
1776343053.4188006,63,1.8125
1776343059.557553,64,0.69140625
1776343074.25585,66,-0.6015625
1776343081.4468167,67,1.015625
1776343087.9193456,68,2.234375
1776343094.187283,69,0.6484375
1776343100.9811242,70,0.8671875
1776343107.7579002,71,1.6953125
1776343114.172087,72,0.5546875
1776343120.8575294,73,-0.625
1776343127.0829427,74,0.4375
1776343133.4985824,75,1.2421875
1776343140.4305692,76,1.2890625
1776343146.9514396,77,0.359375
1776343153.6331012,78,-0.1044921875
1776343160.721225,79,0.5078125
1776343166.8575463,80,0.46484375
1776343174.2780578,81,0.83203125
1776343180.66354,82,0.90234375
1776343188.3057663,83,1.359375
1776343195.3121338,84,-0.169921875
1776343201.5280743,85,0.4921875
1776343208.6233718,86,-0.59375
1776343215.271484,87,-0.458984375
1776343221.4483092,88,0.2060546875
1776343228.512045,89,1.140625
1776343235.1379247,90,1.2265625
1776343242.2126923,91,1.625
