Wall time,Step,Value
1776342629.165176,1,1.53125
1776342645.595527,3,1.48828125
1776342652.2403424,4,1.166015625
1776342658.6974947,5,1.435546875
1776342665.032936,6,1.400390625
1776342678.8402464,8,1.3984375
1776342692.325376,10,1.431640625
1776342699.7240944,11,1.5234375
1776342706.2690616,12,1.052734375
1776342719.902792,14,1.6015625
1776342727.074995,15,1.4765625
1776342733.4812808,16,1.4609375
1776342739.8682432,17,1.259765625
1776342746.9840224,18,1.443359375
1776342753.3840637,19,1.537109375
1776342759.5488765,20,1.54296875
1776342766.4006443,21,1.55859375
1776342773.00739,22,1.521484375
1776342779.7571971,23,1.6796875
1776342786.4740698,24,1.478515625
1776342799.476553,26,1.232421875
1776342806.6387925,27,1.2265625
1776342813.0384064,28,1.53125
1776342820.0203335,29,1.568359375
1776342826.4287255,30,1.5625
1776342833.5830932,31,1.416015625
1776342839.9779494,32,1.345703125
1776342847.0520108,33,1.490234375
1776342853.5939229,34,1.48828125
1776342860.5316963,35,1.671875
1776342867.0449336,36,1.45703125
1776342873.9858682,37,1.345703125
1776342880.6940827,38,1.341796875
1776342887.645581,39,1.453125
1776342894.0424204,40,1.59375
1776342900.9793038,41,1.544921875
1776342914.6208856,43,1.4765625
1776342921.6430957,44,1.474609375
1776342943.0346353,47,1.7265625
1776342949.3987017,48,1.4609375
1776342955.798105,49,1.611328125
1776342962.9736543,50,1.521484375
1776342970.6075542,51,1.51171875
1776342977.2739768,52,1.525390625
1776342984.7057524,53,1.525390625
1776342992.0830367,54,1.552734375
1776342999.9596741,55,1.548828125
1776343006.6537254,56,1.51171875
1776343020.0783947,58,1.595703125
1776343026.540837,59,1.46484375
1776343039.9854963,61,1.515625
1776343046.1875885,62,1.33984375
1776343053.4195597,63,1.427734375
1776343059.5582592,64,1.36328125
1776343074.256654,66,1.26171875
1776343081.447539,67,1.48828125
1776343087.9200442,68,1.443359375
1776343094.187984,69,1.525390625
1776343100.981836,70,1.443359375
1776343107.7586317,71,1.548828125
1776343114.17283,72,1.419921875
1776343120.8582392,73,1.3984375
1776343127.0837512,74,1.470703125
1776343133.4994383,75,1.3984375
1776343140.4313643,76,1.26953125
1776343146.9521177,77,1.603515625
1776343153.6338232,78,1.4453125
1776343160.7219272,79,1.509765625
1776343166.858255,80,1.611328125
1776343174.2787797,81,1.486328125
1776343180.6642454,82,1.3515625
1776343188.3065376,83,1.533203125
1776343195.3129315,84,1.53125
1776343201.5287697,85,1.474609375
1776343208.6241238,86,1.580078125
1776343215.272261,87,1.478515625
1776343221.449009,88,1.490234375
1776343228.512787,89,1.685546875
1776343235.138643,90,1.24609375
1776343242.213433,91,1.255859375
1776343255.9317393,93,1.55078125
1776343262.3977869,94,1.263671875
1776343269.7394195,95,1.484375
1776343277.2501433,96,1.505859375
1776343283.9271286,97,1.59375
1776343297.6849782,99,1.431640625
1776343304.3213913,100,1.435546875
1776343311.229548,101,1.3984375
1776343318.3069801,102,1.3515625
1776343332.1158695,104,1.564453125
1776343339.5801814,105,1.54296875
1776343346.028026,106,1.310546875
1776343353.3461843,107,1.443359375
1776343359.718733,108,1.416015625
1776343366.9639833,109,1.369140625
1776343374.2696934,110,1.447265625
1776343388.6928236,111,1.33203125
1776343395.437622,112,1.60546875
1776343401.6847482,113,1.5625
1776343415.0317454,115,1.30859375
1776343421.379075,116,1.404296875
1776343427.4849308,117,1.478515625
1776343435.64361,118,1.482421875
1776343442.8605754,119,1.541015625
1776343449.116734,120,1.5078125
1776343459.1296487,121,1.5078125
1776343465.5803504,122,1.37109375
1776343471.90479,123,1.36328125
1776343478.9867244,124,1.359375
1776343492.6518757,126,1.40234375
1776343499.400837,127,1.44140625
1776343506.4374352,128,1.517578125
1776343512.5952315,129,1.291015625
1776343519.093354,130,1.541015625
1776343529.5692012,131,1.466796875
1776343536.0415752,132,1.375
1776343542.996974,133,1.28515625
1776343556.4813035,135,1.443359375
1776343569.7714813,137,1.517578125
1776343576.4592934,138,1.431640625
1776343582.8549628,139,1.40234375
1776343589.282732,140,1.419921875
1776343600.8417277,141,1.361328125
1776343607.1712668,142,1.25
1776343613.991466,143,1.517578125
1776343621.1946287,144,1.4140625
1776343627.7162156,145,1.365234375
1776343634.9619894,146,1.439453125
1776343642.128315,147,1.302734375
1776343648.7018912,148,1.453125
1776343655.9455893,149,1.3828125
1776343676.069234,151,1.39453125
1776343690.24522,153,1.404296875
1776343697.3151178,154,1.291015625
1776343703.9904797,155,1.345703125
1776343716.7299693,157,1.369140625
1776343722.8888032,158,1.51171875
1776343729.985266,159,1.474609375
1776343736.1664977,160,1.392578125
1776343748.8041852,161,1.3515625
1776343755.699231,162,1.408203125
1776343763.2014081,163,1.287109375
1776343769.8367267,164,1.310546875
1776343776.5298793,165,1.3203125
1776343782.837516,166,1.109375
1776343789.5824244,167,1.298828125
1776343804.4229174,169,1.376953125
1776343811.3034987,170,1.2578125
1776343824.0871925,171,1.259765625
1776343830.7939677,172,1.236328125
1776343838.0917687,173,1.3359375
1776343845.3990865,174,1.26171875
1776343852.5429459,175,1.130859375
1776343859.0682766,176,1.177734375
1776343866.2325711,177,1.341796875
1776343872.9815056,178,1.26171875
1776343880.3340073,179,1.384765625
1776343901.2466235,181,1.140625
1776343907.5000436,182,1.25390625
1776343913.8196437,183,1.11328125
1776343920.4600694,184,1.28515625
1776343927.5858264,185,1.166015625
1776343934.425452,186,1.255859375
1776343941.1846333,187,1.171875
1776343960.7957916,190,0.96875
1776343971.5179415,191,1.095703125
1776343978.283969,192,0.9052734375
1776343985.5096855,193,1.14453125
1776343992.7756982,194,1.263671875
1776343999.9621012,195,1.173828125
1776344007.0387387,196,0.8486328125
1776344020.0216925,198,1.08984375
1776344026.9954314,199,1.123046875
1776344033.708386,200,0.7607421875
1776344045.7099574,201,1.0625
1776344059.425483,203,0.9921875
1776344065.8712325,204,0.8544921875
1776344073.269593,205,0.9541015625
1776344080.2568521,206,0.5908203125
1776344086.9394388,207,0.7138671875
1776344093.8665571,208,0.978515625
1776344100.24918,209,0.775390625
1776344107.9210613,210,0.6875
1776344119.8776546,211,0.728515625
1776344126.5173109,212,0.474609375
1776344134.156873,213,0.58203125
1776344140.8204226,214,0.904296875
1776344148.0754602,215,0.5986328125
1776344155.3232553,216,0.4873046875
1776344162.861366,217,0.466796875
1776344176.7234747,219,0.5478515625
1776344184.069379,220,0.5361328125
1776344196.3021884,221,0.4814453125
1776344203.0665338,222,0.42138671875
1776344210.5359032,223,0.6259765625
1776344217.6330154,224,0.37158203125
1776344224.423469,225,0.732421875
1776344231.5373611,226,0.4306640625
1776344238.4530656,227,0.3779296875
1776344258.536347,230,0.39453125
1776344270.2078156,231,0.34228515625
1776344276.557159,232,0.228759765625
1776344283.0490894,233,0.211669921875
1776344291.8851151,234,0.25732421875
1776344298.28856,235,0.177978515625
1776344305.2635553,236,0.33203125
1776344311.602678,237,0.35791015625
1776344317.9138215,238,0.16845703125
1776344324.7012355,239,0.22216796875
1776344330.9963903,240,0.2421875
1776344348.0094266,242,0.233154296875
1776344354.394493,243,0.159912109375
1776344360.8453074,244,0.145263671875
1776344367.7088554,245,0.207763671875
1776344374.0451992,246,0.090087890625
1776344379.681864,247,0.26708984375
1776344386.3084939,248,0.1630859375
1776344393.2264576,249,0.144287109375
1776344400.0787594,250,0.1170654296875
1776344418.143414,252,0.0865478515625
1776344424.4835353,253,0.152587890625
1776344430.8601925,254,0.14599609375
1776344437.2288802,255,0.0784912109375
1776344443.4326265,256,0.0908203125
1776344456.8116539,258,0.044677734375
1776344463.1370225,259,0.04888916015625
1776344469.4873075,260,0.04583740234375
1776344483.8850877,261,0.0452880859375
1776344497.3009577,263,0.1240234375
1776344503.908164,264,0.031341552734375
1776344517.8420925,266,0.03302001953125
1776344531.1612585,268,0.0567626953125
1776344538.093009,269,0.03009033203125
1776344555.5287006,271,0.04217529296875
1776344561.5469658,272,0.052490234375
1776344575.4384654,274,0.030792236328125
1776344582.0547965,275,0.050537109375
1776344588.3125422,276,0.018585205078125
1776344594.7663357,277,0.0240478515625
1776344607.9557827,279,0.025054931640625
1776344614.3988447,280,0.023162841796875
1776344625.3522916,281,0.1241455078125
1776344631.5471327,282,0.085205078125
1776344638.4007792,283,0.022979736328125
1776344644.7399302,284,0.05194091796875
1776344650.8315594,285,0.0367431640625
1776344657.2042909,286,0.068359375
1776344663.7300656,287,0.032012939453125
1776344670.811005,288,0.021514892578125
1776344677.7967608,289,0.038818359375
1776344684.2948916,290,0.030670166015625
1776344696.0884411,291,0.037109375
1776344703.4330516,292,0.025665283203125
1776344710.573484,293,0.220458984375
1776344723.6904032,295,0.027587890625
1776344730.4040258,296,0.0643310546875
1776344737.0196435,297,0.021087646484375
1776344743.9900773,298,0.03369140625
1776344750.8128054,299,0.243896484375
1776344757.1651273,300,0.03375244140625
1776344769.440517,301,0.16259765625
1776344775.6655807,302,0.05242919921875
1776344782.7378504,303,0.150146484375
1776344790.006963,304,0.12646484375
1776344796.5654774,305,0.0528564453125
1776344803.632333,306,0.0665283203125
1776344810.4212291,307,0.0361328125
1776344817.3863194,308,0.0625
1776344824.0463989,309,0.0845947265625
1776344831.3382897,310,0.032440185546875
1776344850.1342955,312,0.031097412109375
1776344856.8926249,313,0.02801513671875
1776344864.0860593,314,0.02166748046875
1776344871.8399408,315,0.05242919921875
1776344879.2095523,316,0.03741455078125
1776344885.7802763,317,0.0650634765625
1776344899.519207,319,0.03363037109375
1776344905.765272,320,0.030059814453125
1776344916.2652237,321,0.028594970703125
1776344923.5240433,322,0.04388427734375
1776344929.8925111,323,0.02740478515625
1776344943.237814,325,0.0330810546875
1776344950.3261251,326,0.024627685546875
1776344957.6141293,327,0.0126800537109375
1776344964.305044,328,0.08837890625
1776344971.333367,329,0.03363037109375
1776344979.032003,330,0.05816650390625
1776344989.5427501,331,0.023895263671875
1776344996.676529,332,0.04437255859375
1776345004.2538748,333,0.04656982421875
1776345011.8882604,334,0.020782470703125
1776345019.3834414,335,0.030364990234375
1776345026.9597652,336,0.025238037109375
1776345033.6247275,337,0.0154571533203125
1776345040.8086593,338,0.015625
1776345047.4142976,339,0.032135009765625
1776345065.330221,341,0.05389404296875
1776345072.8666172,342,0.04571533203125
1776345079.230526,343,0.0333251953125
1776345084.7703428,344,0.02374267578125
1776345091.9238756,345,0.0234375
1776345099.3755329,346,0.030364990234375
1776345106.3232288,347,0.020050048828125
1776345113.3919368,348,0.03802490234375
1776345120.5577023,349,0.03875732421875
1776345129.604855,350,0.0438232421875
1776345140.639857,351,0.0484619140625
1776345154.3015857,353,0.0455322265625
1776345161.1237128,354,0.04425048828125
1776345167.5086157,355,0.01416015625
1776345174.4247155,356,0.0792236328125
1776345187.980227,358,0.132080078125
1776345194.4565678,359,0.023895263671875
1776345212.9894497,361,0.140869140625
1776345219.0120468,362,0.0343017578125
1776345225.9104097,363,0.026214599609375
1776345232.5803921,364,0.116943359375
1776345239.4471638,365,0.030364990234375
1776345245.6024365,366,0.0355224609375
1776345252.143359,367,0.03228759765625
1776345259.0293355,368,0.014892578125
1776345265.3388674,369,0.0333251953125
1776345271.5491867,370,0.1163330078125
1776345295.5808647,373,0.05670166015625
1776345301.9111004,374,0.05224609375
1776345308.812731,375,0.0148773193359375
1776345315.1761177,376,0.1748046875
1776345322.3435445,377,0.03997802734375
1776345328.922878,378,0.142578125
1776345336.2566109,379,0.056640625
1776345343.8225555,380,0.03790283203125
1776345359.0785847,382,0.027435302734375
1776345365.4359295,383,0.083251953125
1776345379.37047,385,0.015472412109375
1776345386.5402596,386,0.03125
1776345393.1897993,387,0.0154571533203125
1776345414.0889683,390,0.019195556640625
1776345423.4337716,391,0.017852783203125
1776345429.9465501,392,0.03656005859375
1776345436.7655077,393,0.0255126953125
1776345443.3526766,394,0.027435302734375
1776345450.4351406,395,0.03790283203125
1776345457.107207,396,0.01446533203125
1776345464.2326584,397,0.025970458984375
1776345470.4709847,398,0.028289794921875
1776345476.951557,399,0.0141448974609375
1776345484.009139,400,0.018310546875
1776345494.7089305,401,0.0343017578125
1776345501.9002376,402,0.007965087890625
1776345508.7238536,403,0.04345703125
1776345515.8311276,404,0.027862548828125
1776345523.0388265,405,0.02301025390625
1776345529.4104578,406,0.0679931640625
1776345535.791717,407,0.0137176513671875
1776345541.998689,408,0.0364990234375
1776345548.5117004,409,0.0306396484375
1776345555.8946824,410,0.025360107421875
1776345565.0650544,411,0.0128326416015625
1776345571.5905156,412,0.023590087890625
1776345579.1327958,413,0.031341552734375
1776345586.2582293,414,0.04376220703125
1776345593.0986886,415,0.021240234375
1776345600.2127428,416,0.023712158203125
1776345621.2741635,419,0.03533935546875
1776345628.0514379,420,0.0156402587890625
1776345639.3474524,421,0.026214599609375
1776345645.829847,422,0.018585205078125
1776345652.3508976,423,0.029327392578125
1776345659.7979136,424,0.035400390625
1776345666.6378143,425,0.008697509765625
1776345673.1767378,426,0.03033447265625
1776345680.153927,427,0.0109100341796875
1776345687.3801854,428,0.021820068359375
1776345700.901117,430,0.021240234375
1776345711.51342,431,0.02655029296875
1776345717.2093325,432,0.03594970703125
1776345724.1970155,433,0.02520751953125
1776345738.9219472,435,0.02093505859375
1776345745.6644714,436,0.0078125
1776345752.7724218,437,0.0142974853515625
1776345759.644105,438,0.020050048828125
1776345766.6104653,439,0.0762939453125
1776345773.798334,440,0.014007568359375
