Wall time,Step,Value
1776342629.1651905,1,0.0
1776342645.5955448,3,1.7308460655840463e-06
1776342652.2403567,4,1.087678629119182e-05
1776342658.6975088,5,6.969366950215772e-06
1776342665.0329628,6,2.7567496090341592e-06
1776342678.840262,8,7.759937034279574e-06
1776342692.3253913,10,2.6276393327862024e-06
1776342699.7241116,11,5.220484581514029e-06
1776342706.2690792,12,2.5321662633359665e-06
1776342719.902809,14,6.650878731306875e-06
1776342727.075018,15,2.558208507252857e-06
1776342733.4812982,16,3.0779046937823296e-06
1776342739.8682594,17,1.7562259699843707e-06
1776342746.9840372,18,2.5326935428893194e-06
1776342753.3840783,19,1.1547896292540827e-06
1776342759.5488913,20,1.654868719924707e-05
1776342766.4006617,21,4.216446995997103e-06
1776342773.0074048,22,8.568175871914718e-06
1776342779.7572155,23,9.363178833154961e-06
1776342786.4740846,24,1.0923843547061551e-05
1776342799.4765677,26,8.062484084803145e-06
1776342806.6388247,27,3.7861743749090238e-06
1776342813.038421,28,1.0695832770579727e-06
1776342820.020349,29,1.813707967812661e-06
1776342826.4287412,30,4.1613193957346084e-07
1776342833.5831096,31,1.4716441910422873e-05
1776342839.9779646,32,8.108975634968374e-06
1776342847.052025,33,4.334820459916955e-06
1776342853.5939384,34,1.46104212035425e-05
1776342860.5317116,35,3.305390919194906e-06
1776342867.0449483,36,2.2463434561359463e-06
1776342873.9858847,37,8.075558071141131e-06
1776342880.6940982,38,4.182752945780521e-06
1776342887.6455963,39,3.7529637211264344e-06
1776342894.0424354,40,5.054612302046735e-06
1776342900.9793186,41,5.195535322854994e-06
1776342914.6209006,43,4.397846169013064e-06
1776342921.6431115,44,7.3078008426819e-06
1776342943.0346541,47,6.769208994228393e-06
1776342949.3987172,48,4.784267730428837e-06
1776342955.7981198,49,2.0224018953740597e-05
1776342962.9736927,50,4.801122486242093e-06
1776342970.6075847,51,6.417960776161635e-06
1776342977.273993,52,5.870086170034483e-06
1776342984.705768,53,6.520842816826189e-06
1776342992.0830526,54,9.033996320795268e-06
1776342999.9596903,55,1.7009397197398357e-06
1776343006.6537406,56,3.723867166627315e-06
1776343020.0784094,58,1.6536947441636585e-05
1776343026.540891,59,4.766932306665694e-06
1776343039.985511,61,5.657017027260736e-06
1776343046.1876035,62,3.31873593495402e-06
1776343053.4195745,63,2.1637245026795426e-06
1776343059.5582736,64,2.568405761849135e-05
1776343074.256672,66,1.0438617437102948e-06
1776343081.4475548,67,5.958679025752645e-07
1776343087.9200587,68,5.869650976819685e-06
1776343094.1879995,69,2.6862383037951076e-06
1776343100.981851,70,2.912656213993614e-07
1776343107.7586465,71,8.66699883772526e-06
1776343114.1728446,72,3.837508756987518e-06
1776343120.8582542,73,2.183958031309885e-06
1776343127.083767,74,4.9981391470055314e-08
1776343133.4994535,75,1.5205441741272807e-05
1776343140.4313874,76,1.0996737955792923e-06
1776343146.9521332,77,3.7566733226412907e-06
1776343153.6338384,78,1.1142760740767699e-05
1776343160.7219422,79,7.699808520555962e-06
1776343166.85827,80,3.1188883440336213e-06
1776343174.2787957,81,6.504385964944959e-06
1776343180.6642601,82,4.534108938969439e-06
1776343188.3065593,83,7.670067134313285e-06
1776343195.3129468,84,6.136928732303204e-06
1776343201.5287855,85,5.147125193616375e-06
1776343208.624139,86,1.0718252951846807e-06
1776343215.2722754,87,6.474709607573459e-06
1776343221.4490232,88,9.767115443537477e-06
1776343228.5128028,89,2.788612391668721e-06
1776343235.1386583,90,1.8119881133316085e-06
1776343242.2134483,91,8.427926331933122e-06
1776343255.9317546,93,5.3241797104419675e-06
1776343262.397804,94,8.06613388704136e-06
1776343269.7394352,95,2.657791128513054e-06
1776343277.2501621,96,5.635738943965407e-06
1776343283.927143,97,1.667118681325519e-06
1776343297.6849937,99,7.530748462158954e-06
1776343304.3214061,100,2.3546069769508904e-06
1776343311.229563,101,5.146096100361319e-06
1776343318.3069947,102,3.5677876439876854e-06
1776343332.1158853,104,1.2531044149000081e-06
1776343339.5801988,105,4.400266789161833e-06
1776343346.0280411,106,1.4800872122577857e-05
1776343353.3461995,107,4.157196144660702e-06
1776343359.718748,108,8.662827895022929e-06
1776343366.9639974,109,6.693593945783505e-07
1776343374.2697227,110,3.616721642174525e-07
1776343388.6928387,111,5.85202724323608e-06
1776343395.437637,112,4.395379619381856e-06
1776343401.6847634,113,6.728798325639218e-06
1776343415.0317602,115,2.1115743038535584e-06
1776343421.3790894,116,8.349093150172848e-06
1776343427.4849458,117,5.259424870018847e-05
1776343435.6436255,118,2.9966004149173386e-06
1776343442.8605957,119,6.961700364627177e-06
1776343449.1167498,120,6.498535640275804e-06
1776343459.129671,121,8.416493983531836e-06
1776343465.5803664,122,5.587402938544983e-06
1776343471.9048061,123,1.4072174053580966e-05
1776343478.9867494,124,1.607213016541209e-05
1776343492.6518905,126,9.13219253106945e-07
1776343499.4008517,127,7.466900115105091e-06
1776343506.4374497,128,6.037404091330245e-06
1776343512.5952463,129,1.569112896504521e-06
1776343519.093369,130,1.5052754861244466e-05
1776343529.5692163,131,8.613697900727857e-06
1776343536.0415902,132,1.3077568837616127e-05
1776343542.9969893,133,2.572073071860359e-06
1776343556.4813204,135,2.963685574286501e-06
1776343569.7714965,137,5.775145837105811e-06
1776343576.4593081,138,2.174264636778389e-06
1776343582.8549771,139,2.8966862373636104e-05
1776343589.2827468,140,1.4353034885061788e-06
1776343600.8417485,141,6.751306045771344e-06
1776343607.1712866,142,4.161913693678798e-06
1776343613.991481,143,5.470372343552299e-06
1776343621.1946433,144,7.392400220851414e-06
1776343627.7162306,145,1.062244564309367e-06
1776343634.9620059,146,7.526200079155387e-06
1776343642.1283677,147,5.172929377295077e-06
1776343648.7019067,148,5.900734322494827e-06
1776343655.945604,149,1.2151631381129846e-05
1776343676.0692494,151,1.425916616426548e-05
1776343690.2452347,153,7.179010935942642e-06
1776343697.3151338,154,5.2961022447561845e-06
1776343703.990495,155,2.029131564995623e-06
1776343716.7299843,157,3.520897962516756e-06
1776343722.888819,158,1.8392534002487082e-06
1776343729.9853194,159,5.317272098182002e-06
1776343736.1665168,160,3.0420060284086503e-06
1776343748.8042002,161,9.184112968796398e-06
1776343755.6992464,162,1.547004831081722e-05
1776343763.2014232,163,6.302872407104587e-06
1776343769.836742,164,1.565625825605821e-05
1776343776.529898,165,4.939609425491653e-06
1776343782.8375304,166,3.2132293199538253e-06
1776343789.5824392,167,1.1766563147830311e-05
1776343804.4229324,169,1.52104139488074e-05
1776343811.3035135,170,7.439224646077491e-06
1776343824.0872452,171,1.0559258043940645e-05
1776343830.7939832,172,2.4464955004077638e-06
1776343838.091784,173,9.184725968225393e-06
1776343845.3991024,174,6.448979547712952e-06
1776343852.5429604,175,2.2822283426648937e-05
1776343859.0682912,176,7.879396434873343e-06
1776343866.232588,177,2.9634641123266192e-06
1776343872.981521,178,2.2806003471487202e-05
1776343880.3340218,179,2.194327134930063e-05
1776343901.246638,181,8.538862857676577e-06
1776343907.500059,182,3.836772884824313e-05
1776343913.8196595,183,3.653381781987264e-06
1776343920.460086,184,1.0877110071305651e-05
1776343927.5858436,185,5.979613433737541e-06
1776343934.4254668,186,1.6805850464152172e-05
1776343941.1846485,187,1.660052475926932e-05
1776343960.7958093,190,1.4445166925725061e-05
1776343971.5179586,191,5.14553221364622e-07
1776343978.2839837,192,4.543369868770242e-06
1776343985.5097003,193,3.0697865440743044e-06
1776343992.7757173,194,7.520492999901762e-06
1776343999.962153,195,3.117967935395427e-05
1776344007.0387537,196,1.089554643840529e-05
1776344020.0217073,198,9.33399405766977e-06
1776344026.995446,199,9.82948586170096e-06
1776344033.708402,200,6.088457666919567e-06
1776344045.7099724,201,4.10812305062791e-07
1776344059.425501,203,3.2584011933067814e-06
1776344065.8712482,204,1.1484397873573471e-05
1776344073.269608,205,8.596803127147723e-06
1776344080.256871,206,7.0085638981254306e-06
1776344086.939472,207,8.891988727555145e-06
1776344093.8665714,208,1.2350948054518085e-05
1776344100.2491958,209,3.425790737310308e-06
1776344107.9211004,210,2.4975526685011573e-05
1776344119.8777065,211,2.649848966029822e-06
1776344126.517326,212,1.3623526911032968e-06
1776344134.1568875,213,3.2437881145597203e-06
1776344140.820438,214,7.25804102330585e-06
1776344148.0754757,215,2.3486800273531117e-05
1776344155.3232715,216,2.044303073489573e-06
1776344162.8613822,217,8.980396160040982e-06
1776344176.7234895,219,4.170169177086791e-06
1776344184.0693974,220,3.5824068618239835e-06
1776344196.302203,221,4.815188731299713e-06
1776344203.0665486,222,1.035841978591634e-05
1776344210.5359185,223,1.7090756955440156e-05
1776344217.6330366,224,1.975546638277592e-06
1776344224.4234886,225,5.437195341073675e-06
1776344231.5373764,226,5.486123427544953e-06
1776344238.4530823,227,1.968427341125789e-06
1776344258.5363617,230,2.2355993678502273e-06
1776344270.2078304,231,3.345048071423662e-06
1776344276.557178,232,3.0848505048197694e-06
1776344283.049105,233,3.5297171052661724e-07
1776344291.8851297,234,9.644350029702764e-07
1776344298.2885747,235,6.498884886241285e-06
1776344305.2635748,236,2.1068688056402607e-06
1776344311.6026928,237,2.4403532734140754e-05
1776344317.913838,238,1.3877084938940243e-06
1776344324.7012537,239,1.0620213288348168e-05
1776344330.996407,240,9.697007953946013e-06
1776344348.0094416,242,1.6676646055202582e-06
1776344354.3945084,243,2.141431650670711e-06
1776344360.8453221,244,2.166514832424582e-06
1776344367.7088728,245,2.7272851639281726e-06
1776344374.0452158,246,2.7915218652196927e-06
1776344379.6818788,247,7.188793915702263e-06
1776344386.3085089,248,4.460302079678513e-06
1776344393.2264724,249,6.5547815211175475e-06
1776344400.0787826,250,3.6756500776391476e-05
1776344418.143429,252,2.2258131139096804e-05
1776344424.483554,253,3.580265968139429e-07
1776344430.8602092,254,9.789335990717518e-07
1776344437.2288985,255,3.222870191166294e-06
1776344443.4326444,256,3.24009197356645e-05
1776344456.81167,258,2.4588147425674833e-05
1776344463.13704,259,2.4530884275009157e-06
1776344469.4873261,260,1.1536001238710014e-06
1776344483.8851027,261,1.041405255364225e-07
1776344497.3009725,263,1.3425124052446336e-05
1776344503.9081829,264,9.701517456051079e-08
1776344517.8421118,266,1.2027952607240877e-06
1776344531.1612742,268,9.158748071058653e-07
1776344538.0930343,269,3.209206909104978e-07
1776344555.5287158,271,5.931985924689798e-06
1776344561.5469813,272,6.215371740836417e-06
1776344575.4384804,274,1.671981044637505e-05
1776344582.054812,275,6.489501174655743e-06
1776344588.3125575,276,2.5620258270464547e-07
1776344594.7663507,277,5.952631909167394e-06
1776344607.955803,279,4.831863975596207e-07
1776344614.3988624,280,8.064312169153709e-06
1776344625.3523066,281,7.075016696944658e-07
1776344631.5471473,282,7.976864253578242e-06
1776344638.4007938,283,5.138403835758254e-08
1776344644.7399487,284,4.6676163378833735e-07
1776344650.8315768,285,1.0058615629304768e-07
1776344657.204306,286,6.085883342166198e-06
1776344663.730081,287,3.485952220216859e-07
1776344670.8110251,288,1.6584083084580925e-07
1776344677.7967885,289,5.598112196025795e-08
1776344684.294908,290,1.3086533954265178e-06
1776344696.088456,291,8.219620326599397e-07
1776344703.433066,292,2.2208084828889696e-06
1776344710.5734982,293,1.0744021892605815e-05
1776344723.6904213,295,2.5670615855233336e-07
1776344730.4040456,296,7.35374044324999e-07
1776344737.0196607,297,1.3895605555092061e-08
1776344743.9900954,298,1.224850166181568e-06
1776344750.8128219,299,2.185525772802066e-05
1776344757.1651435,300,1.3635986988447257e-06
1776344769.440532,301,2.9518349037971348e-05
1776344775.6655974,302,1.640747177589219e-05
1776344782.737865,303,6.424137154681375e-06
1776344790.006978,304,2.0324964680185076e-06
1776344796.5654922,305,4.5538845370174386e-06
1776344803.6323488,306,4.1566531763237435e-06
1776344810.421244,307,2.213349262092379e-06
1776344817.3863368,308,8.362239896086976e-07
1776344824.0464134,309,6.768435923731886e-06
1776344831.3383038,310,4.861199727201893e-07
1776344850.1343107,312,5.120321930007776e-06
1776344856.8926392,313,7.78550344193718e-08
1776344864.0860744,314,5.554674586960573e-08
1776344871.8399587,315,7.207821909105405e-06
1776344879.2096076,316,7.936206202430185e-06
1776344885.780291,317,2.210194907092955e-05
1776344899.5192215,319,2.5491517590126023e-06
1776344905.7652862,320,6.997174295975128e-06
1776344916.265238,321,9.566896324031404e-07
1776344923.5240586,322,8.868758527569298e-07
1776344929.8925257,323,5.491750130204309e-07
1776344943.2378285,325,8.565907592128497e-07
1776344950.3261511,326,2.4364946966670686e-06
1776344957.6141503,327,3.3068579341488658e-06
1776344964.3050585,328,8.228596925619058e-06
1776344971.3333817,329,2.1000967080908595e-06
1776344979.0320175,330,1.6463332030980382e-06
1776344989.5427654,331,2.6341583634348353e-06
1776344996.6765525,332,2.8068864139640937e-06
1776345004.25389,333,1.639856805013551e-06
1776345011.8883078,334,1.9286978840682423e-06
1776345019.383466,335,8.275604341179132e-05
1776345026.9597793,336,1.77501260623103e-06
1776345033.6247427,337,3.872406466598477e-07
1776345040.8086746,338,2.3786749352439074e-06
1776345047.414312,339,3.702684807649348e-07
1776345065.3302364,341,2.829959385053371e-06
1776345072.8666399,342,1.8405515902486513e-06
1776345079.2305408,343,2.5888014079100685e-06
1776345084.7703578,344,2.406084433914657e-07
1776345091.9239008,345,4.678876450725511e-07
1776345099.3755484,346,9.788556099010748e-07
1776345106.3232596,347,6.878261871179348e-08
1776345113.3919513,348,8.764864105614834e-07
1776345120.557718,349,5.330619501364708e-07
1776345129.60487,350,6.5646509028738365e-06
1776345140.639872,351,1.5245611393766012e-05
1776345154.301614,353,1.0912713150901254e-05
1776345161.1237276,354,4.635540335584665e-06
1776345167.5086303,355,1.1340341643517604e-07
1776345174.4247305,356,6.926689820829779e-06
1776345187.9802477,358,8.264571988547686e-06
1776345194.4565833,359,1.4553144183082622e-06
1776345212.9894662,361,2.6470112857168715e-07
1776345219.0120618,362,1.3166768439987209e-06
1776345225.9104273,363,7.751312409709499e-07
1776345232.5804067,364,3.3990047086263075e-05
1776345239.4471848,365,7.066813054734666e-07
1776345245.6024537,366,2.3483704580939957e-07
1776345252.1433737,367,7.805957125128771e-07
1776345259.029376,368,2.483737659986218e-07
1776345265.338882,369,1.6665193243170506e-06
1776345271.5492017,370,2.2910333427716978e-05
1776345295.5808797,373,1.6782998500275426e-05
1776345301.9111154,374,1.4387668443305301e-06
1776345308.8127496,375,1.1237376611461514e-06
1776345315.1761334,376,7.867926615290344e-05
1776345322.3435714,377,2.9064598493278027e-05
1776345328.9228933,378,5.887612587684998e-06
1776345336.2566261,379,8.493545919918688e-07
1776345343.8225703,380,2.1658199784724275e-06
1776345359.0786002,382,1.8683173266254016e-06
1776345365.435945,383,2.3589222109876573e-05
1776345379.370485,385,6.370578944370209e-07
1776345386.5403128,386,1.2356883416941855e-05
1776345393.1898143,387,3.283733818193468e-08
1776345414.0889852,390,7.148861982386734e-07
1776345423.4337866,391,5.678112415807846e-07
1776345429.9465652,392,1.8867798416977166e-06
1776345436.7655385,393,9.9879180197604e-06
1776345443.3526912,394,4.000349235866452e-06
1776345450.4351568,395,7.3138253355864435e-06
1776345457.1072226,396,2.3363536172382737e-07
1776345464.2327023,397,5.751867888648121e-07
1776345470.4710076,398,4.258750323060667e-06
1776345476.9515722,399,4.3954443640359386e-08
1776345484.0091577,400,1.2049868018948473e-06
1776345494.708946,401,5.753874575020745e-06
1776345501.9002595,402,5.339486008892891e-08
1776345508.7238686,403,1.5651794456061907e-06
1776345515.8311422,404,8.00583711679792e-06
1776345523.03888,405,4.279305869658856e-07
1776345529.4104729,406,4.191680545773124e-06
1776345535.7917325,407,3.761027755899704e-07
1776345541.9987042,408,2.0395546016516164e-06
1776345548.5117154,409,1.2373043034585862e-07
1776345555.894697,410,4.6815102905384265e-06
1776345565.0650697,411,2.971956064357073e-06
1776345571.5905297,412,1.5394370223020815e-07
1776345579.1328113,413,1.059950250237307e-06
1776345586.2582648,414,6.004634087730665e-07
1776345593.0987039,415,1.999549795073108e-06
1776345600.2127578,416,1.0786877169266518e-07
1776345621.2741835,419,5.663222850671445e-07
1776345628.0514562,420,4.080239079939929e-08
1776345639.3474689,421,2.77760555036366e-05
1776345645.829862,422,1.7154752640635706e-07
1776345652.3509128,423,1.4071282748773228e-05
1776345659.7979293,424,3.683209399696352e-07
1776345666.637868,425,3.868261710948673e-09
1776345673.176754,426,4.280565235603717e-07
1776345680.1539426,427,1.928416168084368e-06
1776345687.3802004,428,6.175802695906896e-07
1776345700.9011333,430,4.9485165618534666e-06
1776345711.5134366,431,8.340002750628628e-07
1776345717.2093477,432,1.840659933805e-06
1776345724.197031,433,1.2097270030153595e-07
1776345738.9219892,435,5.840499852638459e-07
1776345745.6644857,436,7.734264073633312e-08
1776345752.7724688,437,2.884103622591283e-08
1776345759.64412,438,2.3078568744949735e-07
1776345766.6104798,439,2.8927495350217214e-06
1776345773.7983508,440,1.4423408174479846e-06
1776345783.63236,441,4.374600848677801e-06
1776345790.092245,442,4.426405212143436e-06
1776345804.5496159,444,2.4693499653949402e-06
1776345812.059963,445,6.426562322303653e-06
1776345818.803638,446,3.781171471928246e-05
1776345825.9558668,447,8.614129001216497e-07
1776345832.505419,448,1.4880546359563596e-06
1776345846.1835527,450,6.638200034103647e-07
1776345856.6738443,451,2.372176140852389e-06
1776345862.7735717,452,1.846820119055792e-08
