Wall time,Step,Value
1776319398.7035234,5,3.984375
1776319468.4062958,15,3.234375
1776319474.8885472,16,5.03125
1776319494.5174406,19,3.703125
1776319501.5175393,20,1.953125
1776319508.2095776,21,2.328125
1776319522.421091,23,2.046875
1776319549.2602746,27,2.515625
1776319555.681863,28,3.5625
1776319644.7465,41,3.15625
1776319691.10893,48,3.046875
1776319697.468041,49,3.375
1776319703.8252952,50,0.578125
1776319716.765099,52,1.3046875
1776319735.4384325,55,3.59375
1776319774.7213247,61,3.609375
1776319781.2477548,62,1.953125
1776319788.178144,63,2.0625
1776319794.2154992,64,2.296875
1776319814.6472888,67,2.75
1776319821.8166258,68,0.59765625
1776319828.1678464,69,3.78125
1776319842.2630043,71,2.984375
1776319848.9058242,72,1.34375
1776319888.0388231,78,3.328125
1776319919.830127,83,3.0
1776319965.7049575,90,4.34375
1776320032.8390086,100,3.34375
1776320058.2989175,104,2.09375
1776320076.8612826,107,2.359375
1776320082.9838483,108,1.2734375
1776320095.5726123,110,3.4375
1776320140.7412097,117,3.84375
1776320172.678231,122,4.09375
1776320196.9291058,126,4.15625
1776320203.2540145,127,2.09375
1776320215.3141367,129,3.828125
1776320228.691298,131,4.09375
1776320265.5993626,137,2.546875
1776320271.6550424,138,2.15625
1776320315.9719357,145,5.1875
1776320329.25763,147,4.0625
1776320335.6529953,148,3.375
1776320356.3935857,151,3.109375
1776320402.3769772,158,3.671875
1776320420.6689708,161,5.78125
1776320433.9994252,163,3.0625
1776320447.2680736,165,3.40625
1776320488.772469,171,1.796875
1776320495.7434325,172,2.703125
1776320502.0164678,173,4.5625
1776320533.3978376,178,3.28125
1776320577.4656794,185,3.890625
1776320583.776218,186,4.75
1776320590.0355825,187,5.34375
1776320615.5895028,191,3.3125
1776320621.6633987,192,2.875
1776320627.606178,193,3.453125
1776320670.8081083,200,5.75
1776320689.8946404,203,3.65625
1776320696.6162002,204,4.34375
1776320702.9453351,205,5.25
1776320709.2576828,206,3.28125
1776320721.9635189,208,2.703125
1776320748.7349007,212,4.0
1776320761.6300983,214,5.78125
1776320774.2967699,216,5.0
1776320799.5671635,220,4.625
1776320806.4171848,221,4.875
1776320812.6357775,222,4.0
1776320831.456422,225,3.15625
1776320862.9182544,230,4.5625
1776320926.3086207,240,4.71875
1776320957.8895934,245,4.21875
1776320964.166882,246,4.09375
1776320970.184473,247,3.4375
1776321047.9890919,259,4.09375
1776321054.388209,260,3.625
1776321061.3794556,261,3.8125
1776321135.226768,272,3.65625
1776321155.252655,275,3.90625
1776321168.649415,277,4.0625
1776321181.1574056,279,4.375
1776321208.1891453,283,3.8125
1776321228.7085602,286,4.1875
1776321248.2771366,289,4.71875
1776321261.2690947,291,4.0
1776321292.9880753,296,3.546875
1776321306.2639678,298,3.859375
1776321312.3906038,299,4.34375
1776321365.0038457,307,3.9375
1776321377.6443596,309,4.1875
1776321404.124251,313,4.09375
1776321431.5810354,317,3.921875
1776321444.4841933,319,3.78125
1776321451.2228446,320,4.15625
1776321471.2199764,323,3.9375
1776321566.14441,338,3.640625
1776321572.5038085,339,4.15625
1776321605.8311498,344,3.703125
1776321619.231324,346,4.0625
1776321626.1071398,347,4.46875
1776321667.9492383,353,4.3125
1776321681.2241251,355,4.375
1776321708.0268912,359,4.125
1776321734.5764952,363,3.96875
1776321740.7590363,364,3.40625
1776321747.048623,365,3.84375
1776321753.5196686,366,3.640625
1776321760.0698218,367,4.6875
1776321766.6792395,368,4.125
1776321841.2338834,379,4.125
1776321894.0143228,387,3.75
1776321921.2528222,391,3.921875
1776321933.4635725,393,4.0625
1776321946.666515,395,4.5
1776321966.311251,398,4.1875
1776321999.4300747,403,3.90625
1776322013.1139588,405,4.21875
1776322043.454414,410,4.0625
1776322076.4777195,415,3.703125
1776322082.6515436,416,4.03125
1776322119.4122868,422,4.0
1776322125.425288,423,3.578125
1776322151.2676253,427,4.21875
1776322176.8083487,431,4.21875
1776322209.160337,436,4.5
1776322215.579191,437,3.984375
1776322221.684587,438,4.0
1776322235.2227337,440,4.28125
1776322261.6632638,444,4.03125
1776322267.720956,445,3.96875
1776322280.1087232,447,3.890625
1776322306.127502,451,4.09375
1776322318.7189097,453,4.03125
1776322343.7540858,457,4.03125
1776322375.0556157,462,4.1875
1776322400.780978,466,3.921875
1776322406.809311,467,3.625
1776322419.8830218,469,4.53125
1776322432.9396722,471,3.828125
1776322457.4080882,475,4.03125
1776322463.674255,476,3.765625
1776322495.2381139,481,3.75
1776322501.47548,482,4.28125
1776322540.779254,488,4.0
1776322554.3242478,490,3.53125
1776322587.8519752,495,3.875
1776322613.8892744,499,3.65625
1776322688.5971696,510,3.96875
1776322695.4796114,511,3.78125
1776322702.641447,512,4.09375
1776322708.8708591,513,4.25
1776322715.1493855,514,4.25
1776322722.364106,515,3.9375
1776322742.1933875,518,3.90625
1776322748.7342074,519,4.03125
1776322755.3427272,520,3.421875
1776322850.2397432,534,4.15625
1776322857.2214034,535,3.625
1776322870.961595,537,3.59375
1776322877.6262302,538,3.796875
1776322884.6867058,539,4.0625
1776322898.4510314,541,3.75
1776322912.1136386,543,3.734375
1776322925.0103765,545,3.984375
1776322939.6106288,547,4.03125
1776322966.6685724,551,4.34375
1776322980.0031352,553,4.46875
1776323001.1130948,556,4.28125
1776323008.1073945,557,4.0
1776323046.7778106,563,4.15625
1776323059.81447,565,4.03125
1776323085.4329445,569,4.03125
1776323105.1332955,572,3.984375
1776323118.4989252,574,3.875
1776323188.594375,585,3.84375
1776323195.5784273,586,4.0625
1776323214.7336853,589,4.28125
1776323227.790433,591,4.0625
1776323234.0006976,592,3.421875
1776323253.37245,595,3.859375
1776323266.788296,597,4.0
1776323306.9800365,603,3.953125
1776323313.5047061,604,3.734375
1776323345.6277175,609,3.8125
1776323378.8088274,614,4.125
1776323385.2465742,615,4.0
1776323398.0932603,617,4.3125
1776323436.3114278,623,4.34375
1776323443.3535833,624,4.03125
1776323463.1959045,627,4.34375
1776323476.164912,629,4.46875
1776323483.0323842,630,3.609375
1776323509.1826391,634,3.828125
1776323535.5702477,638,3.84375
1776323555.6792393,641,3.65625
1776323569.104077,643,4.21875
1776323575.6670165,644,3.59375
1776323581.8914917,645,4.125
1776323613.4900606,650,3.828125
1776323627.0056548,652,4.09375
1776323652.2089665,656,4.21875
1776323673.0145013,659,3.65625
1776323686.71541,661,3.84375
1776323732.650224,668,3.734375
1776323751.8334157,671,3.890625
1776323785.4243443,676,3.875
1776323791.9527514,677,3.859375
1776323818.4837947,681,4.0625
1776323844.4752488,685,3.890625
1776323896.7050827,693,4.0
1776323909.7197459,695,3.890625
1776323922.5265632,697,3.921875
1776323931.2731411,698,3.8125
1776323943.8130903,700,3.625
1776323963.9663367,703,4.09375
1776324018.257867,711,3.90625
1776324050.501214,716,4.625
1776324063.2567089,718,3.96875
1776324084.3219247,721,3.921875
1776324090.5793302,722,3.9375
1776324103.138007,724,3.90625
1776324116.235485,726,3.765625
1776324122.6792836,727,3.875
1776324136.0845506,729,3.859375
1776324143.5182757,730,3.9375
1776324157.4388697,732,3.84375
1776324164.5214663,733,3.96875
1776324171.0691302,734,4.03125
1776324203.6069238,739,4.25
1776324230.7600706,743,3.578125
1776324245.1472883,745,3.59375
1776324325.9056914,757,3.765625
1776324379.5375369,765,4.03125
1776324385.7206187,766,3.6875
1776324411.3781831,770,4.0
1776324430.8267262,773,4.0625
1776324450.3065786,776,3.9375
1776324456.8548236,777,4.0625
1776324470.0200055,779,3.46875
1776324476.590879,780,3.8125
1776324483.6661348,781,3.796875
1776324497.4253175,783,3.84375
1776324537.6487103,789,4.0
1776324646.2809863,805,4.1875
1776324653.3077593,806,4.15625
1776324660.598994,807,4.25
1776324667.2817678,808,4.0625
1776324688.8891103,811,4.25
1776324743.7730267,819,3.765625
1776324750.4512827,820,3.953125
1776324811.4086585,829,3.765625
1776324838.9729197,833,3.796875
1776324845.4065309,834,4.59375
1776324858.1276665,836,3.921875
1776324864.7016888,837,4.5625
1776324885.5817351,840,4.03125
1776324892.6880236,841,4.3125
1776324912.295634,844,3.96875
1776324925.2523165,846,3.96875
1776324965.3530562,852,3.65625
1776325004.1926951,858,4.21875
1776325024.5025108,861,3.90625
1776325036.7702377,863,3.640625
1776325063.3739412,867,4.0
1776325090.2549188,871,4.0625
1776325096.6090443,872,3.84375
1776325178.7400084,885,4.03125
1776325190.9590664,887,4.3125
1776325216.4471495,891,3.84375
1776325229.830719,893,3.75
1776325249.7390177,896,3.84375
1776325262.1420789,898,3.984375
1776325268.4166589,899,3.71875
1776325288.1163163,902,3.5625
1776325294.3284628,903,3.90625
1776325327.4378703,908,3.890625
1776325334.0614572,909,3.921875
1776325347.3383336,911,4.09375
1776325353.8027222,912,3.3125
1776325399.253567,919,3.90625
1776325405.6045492,920,4.0625
1776325418.203239,922,3.59375
1776325462.3860872,929,4.1875
1776325476.4227064,931,4.0625
1776325482.0052898,932,4.25
1776325488.665952,933,3.609375
1776325532.6902325,940,4.1875
1776325552.3410969,943,4.46875
1776325571.7819006,946,3.984375
1776325597.4222639,950,4.0
1776325617.3735337,953,3.9375
1776325635.86963,956,4.0
1776325668.6332698,961,4.09375
1776325689.0388918,964,3.765625
1776325702.2383559,966,4.21875
1776325715.8420515,968,4.375
1776325722.1660352,969,4.40625
1776325788.987539,979,4.0625
1776325795.8575187,980,4.375
1776325816.5674868,983,4.40625
1776325843.681601,987,4.28125
1776325869.6499496,991,3.9375
1776325882.144302,993,4.25
1776325894.77038,995,4.15625
1776325907.4368463,997,3.9375
1776325926.3027556,1000,4.125
1776325944.7181478,1003,4.15625
1776325950.9992187,1004,3.84375
1776325957.5788338,1005,4.34375
1776325970.2903583,1007,3.9375
1776326002.1698909,1012,3.75
1776326014.7572048,1014,4.0
1776326027.4839635,1016,4.1875
1776326072.0184562,1023,3.921875
1776326096.8938208,1027,3.75
1776326109.27002,1029,3.71875
1776326155.153575,1036,3.78125
1776326161.6621919,1037,3.765625
1776326168.0723362,1038,4.125
1776326208.563386,1044,3.671875
1776326229.661445,1047,4.34375
1776326295.3857858,1057,4.1875
1776326306.8302417,1059,3.78125
1776326319.432685,1061,4.0
1776326332.7024245,1063,4.0625
1776326364.4790325,1068,3.65625
1776326377.0285704,1070,4.21875
1776326383.4504147,1071,4.03125
1776326389.7804415,1072,3.859375
1776326396.525837,1073,4.15625
1776326402.8755367,1074,3.96875
1776326427.4732413,1078,4.34375
1776326447.0790691,1081,3.9375
1776326478.42128,1086,4.09375
1776326484.835552,1087,4.0625
1776326491.193912,1088,3.84375
1776326517.2472339,1092,4.25
1776326562.4273887,1099,3.9375
1776326588.5755622,1103,3.796875
1776326594.6311932,1104,4.25
1776326601.780746,1105,4.0625
1776326622.312229,1108,3.625
1776326636.4058192,1110,3.9375
1776326650.0347693,1112,3.84375
1776326656.2558374,1113,4.15625
1776326669.0058885,1115,4.09375
1776326714.3045192,1122,4.0
1776326720.8953743,1123,3.765625
1776326741.1628697,1126,3.796875
1776326748.3454134,1127,4.0625
1776326761.9446523,1129,4.03125
1776326768.2526946,1130,4.03125
1776326788.721314,1133,3.8125
1776326801.543823,1135,4.03125
1776326836.7386847,1140,3.96875
1776326885.174696,1147,4.03125
1776326912.257097,1151,4.0625
1776326918.4388213,1152,3.953125
1776326924.7720344,1153,3.875
1776326988.8997598,1163,4.21875
1776327001.804064,1165,4.3125
1776327022.2355888,1168,4.3125
1776327066.7848012,1175,4.125
1776327080.5947,1177,3.875
1776327086.1806128,1178,3.796875
1776327092.4670918,1179,3.796875
1776327118.9709127,1183,4.21875
1776327131.7936463,1185,3.75
1776327162.7034988,1190,4.09375
1776327188.5059009,1194,3.984375
1776327194.214864,1195,4.25
1776327213.540131,1198,3.640625
1776327265.8040104,1206,4.0625
1776327271.996178,1207,4.0625
1776327278.3068047,1208,3.921875
1776327323.7064877,1215,4.25
1776327349.1175032,1219,3.703125
1776327384.3336635,1224,3.8125
1776327397.0591235,1226,3.96875
1776327422.6777303,1230,4.0
1776327517.8456624,1245,4.25
1776327530.4997861,1247,3.96875
1776327548.992064,1250,4.34375
1776327556.2930472,1251,4.15625
1776327562.762943,1252,3.96875
1776327569.7441158,1253,4.25
1776327583.439317,1255,3.859375
1776327596.7856987,1257,3.734375
1776327603.1230211,1258,4.125
1776327623.8379073,1261,4.3125
1776327630.0762036,1262,3.640625
1776327669.9926405,1268,3.6875
1776327696.5885913,1272,3.671875
1776327728.9446266,1277,4.0625
1776327735.4468935,1278,3.6875
1776327742.0982206,1279,4.0625
1776327768.6435275,1283,4.28125
1776327788.7842736,1286,4.09375
1776327822.2170522,1291,4.0
1776327841.3607275,1294,3.8125
1776327874.7065153,1299,3.8125
1776327881.8122096,1300,4.15625
1776327902.5518692,1303,3.703125
1776327927.6046352,1307,3.765625
1776327952.8945158,1311,3.75
1776327985.4936266,1316,4.125
1776328017.4416938,1321,3.65625
1776328031.2043188,1323,3.96875
1776328050.7593398,1326,4.0625
1776328057.4693334,1327,3.875
1776328116.764072,1336,3.90625
1776328183.8654687,1346,3.75
1776328204.4940352,1349,3.703125
1776328244.6305153,1355,3.953125
1776328284.2365658,1361,4.34375
1776328309.7778015,1365,4.125
1776328316.105883,1366,4.3125
1776328322.5107007,1367,3.8125
1776328335.7478762,1369,4.28125
1776328381.927348,1376,4.28125
1776328389.0962932,1377,4.125
1776328415.5904884,1381,4.03125
1776328455.2157247,1387,4.15625
1776328482.3568358,1391,4.15625
1776328504.3818777,1394,4.15625
1776328530.2795827,1398,4.0
1776328660.6271007,1418,3.671875
1776328686.1502695,1422,3.890625
1776328749.2697043,1432,4.0
1776328780.0979757,1437,4.0
1776328792.077895,1439,3.90625
1776328798.1312177,1440,3.921875
1776328805.024816,1441,3.578125
1776328811.4675262,1442,4.03125
1776328863.1133466,1450,4.125
1776328901.7068214,1456,4.34375
1776328914.120225,1458,3.65625
1776328920.6334949,1459,3.75
1776328934.067912,1461,4.15625
1776328940.0764863,1462,3.90625
1776329017.0901937,1474,3.671875
1776329023.1859126,1475,3.984375
1776329036.2912643,1477,4.1875
1776329082.8358994,1484,4.09375
1776329111.0452507,1488,4.0
1776329131.0618842,1491,4.5
1776329157.5603733,1495,4.3125
1776329182.3652608,1499,4.3125
1776329188.6640081,1500,3.84375
1776329208.7224572,1503,4.0
1776329254.9778123,1510,3.8125
1776329263.3767831,1511,4.25
1776329269.8557563,1512,3.96875
1776329283.3061922,1514,4.125
1776329304.0060782,1517,3.84375
1776329383.246912,1529,3.96875
1776329424.1667242,1535,3.828125
1776329445.4071555,1538,4.125
1776329452.1256213,1539,3.671875
1776329471.99456,1542,4.25
1776329519.602667,1549,3.796875
1776329540.381227,1552,3.859375
1776329546.9002955,1553,3.84375
1776329612.3878188,1563,4.03125
1776329632.9666452,1566,4.46875
1776329639.097765,1567,4.0625
1776329653.5565624,1569,4.375
1776329672.7548149,1572,4.1875
1776329679.6956701,1573,3.875
1776329686.0433657,1574,4.21875
1776329705.881508,1577,3.90625
1776329733.795222,1581,4.25
1776329767.5810306,1586,4.125
