Wall time,Step,Value
1776319398.7044222,5,2.168042101402534e-06
1776319468.4071896,15,2.2539146812050603e-05
1776319474.8894587,16,1.3913032489654142e-05
1776319494.5183468,19,4.79545224152389e-06
1776319501.5184488,20,4.7568542527187674e-07
1776319508.210477,21,3.266819248892716e-06
1776319522.4219987,23,1.9295100628369255e-06
1776319549.2611609,27,5.846639396622777e-06
1776319555.6828167,28,3.0277758469310356e-06
1776319644.7474556,41,1.3552045857068151e-05
1776319691.1098413,48,6.2834533309796825e-06
1776319697.4689288,49,5.046524620411219e-06
1776319703.8261845,50,2.8744943847414106e-06
1776319716.7660298,52,2.12316103898047e-06
1776319735.439345,55,8.60343970998656e-06
1776319774.7217073,61,5.7763918448472396e-06
1776319781.2481277,62,2.2234769403439714e-06
1776319788.1784952,63,5.660981059918413e-06
1776319794.2157888,64,1.3372809007705655e-05
1776319814.647611,67,5.880263870494673e-06
1776319821.8173687,68,7.534033557021758e-06
1776319828.168462,69,6.42094391878345e-07
1776319842.2639115,71,2.0620113900804427e-06
1776319848.9067724,72,4.919844741380075e-06
1776319888.0392008,78,4.106116193725029e-06
1776319919.8310223,83,1.4044912859390024e-05
1776319965.7056384,90,4.093002189620165e-06
1776320032.8393073,100,1.649372097745072e-05
1776320058.2997353,104,3.799547982907825e-07
1776320076.861998,107,3.792551979131531e-06
1776320082.9841373,108,6.546411896124482e-06
1776320095.573263,110,5.713378413929604e-06
1776320140.7420013,117,1.2972873264516238e-06
1776320172.6785295,122,3.0517760478687705e-06
1776320196.929432,126,6.879735792608699e-06
1776320203.2543473,127,6.266161562962225e-06
1776320215.3144372,129,8.780389180174097e-06
1776320228.691751,131,1.6900297850952484e-05
1776320265.599731,137,7.4463737291807774e-06
1776320271.65538,138,1.067005632648943e-05
1776320315.9723186,145,8.166151019395329e-06
1776320329.2579958,147,1.4873779036861379e-05
1776320335.6533537,148,9.087975740840193e-06
1776320356.3945034,151,1.3052709846306243e-06
1776320402.377342,158,2.258242056996096e-05
1776320420.669812,161,8.917410923459101e-06
1776320433.999771,163,7.664993063372094e-06
1776320447.2684588,165,6.606625788663223e-07
1776320488.772832,171,2.472293999744579e-06
1776320495.7438018,172,7.060103143885499e-06
1776320502.016845,173,5.36080870006117e-06
1776320533.3982086,178,2.5050712793017738e-06
1776320577.46604,185,2.0747231246787123e-05
1776320583.776575,186,5.9281496760377195e-06
1776320590.0359457,187,3.118131644441746e-05
1776320615.5898662,191,1.5194155821518507e-05
1776320621.6637564,192,1.2960693311470095e-05
1776320627.6065516,193,3.843511422019219e-06
1776320670.8089995,200,6.6012994466291275e-06
1776320689.8949952,203,1.9345839973539114e-05
1776320696.617069,204,7.037049840619147e-07
1776320702.9456854,205,1.224752963935316e-06
1776320709.2579849,206,0.00026259568403474987
1776320721.9638014,208,2.8924885555170476e-05
1776320748.735208,212,5.102740033180453e-05
1776320761.6303844,214,3.814844603766687e-05
1776320774.2974894,216,2.951177339127753e-05
1776320799.5675023,220,1.87490204552887e-05
1776320806.4176,221,1.0558343092270661e-05
1776320812.6360896,222,1.399523262080038e-05
1776320831.4567537,225,4.501758303376846e-05
1776320862.918992,230,4.8352452722610906e-05
1776320926.3088999,240,5.407769663179351e-07
1776320957.8899174,245,5.080433311377419e-06
1776320964.16719,246,1.8570509610071895e-06
1776320970.184812,247,9.586905798641965e-05
1776321047.9893878,259,1.157205087309876e-08
1776321054.388532,260,2.5844393292118184e-10
1776321061.3800752,261,8.495959491483518e-11
1776321135.2270555,272,2.8061700532711065e-11
1776321155.2529826,275,3.1986264765332395e-12
1776321168.649697,277,1.2125174475574596e-10
1776321181.1576807,279,1.9909407455998007e-11
