Wall time,Step,Value
1776342629.2160184,1,1.390625
1776342645.9285774,3,0.86328125
1776342653.2116048,4,0.41015625
1776342659.8544385,5,2.0
1776342666.4631658,6,0.4140625
1776342679.8132246,8,1.1484375
1776342693.4008722,10,1.8671875
1776342700.7899396,11,-0.462890625
1776342707.3989258,12,0.30859375
1776342721.5446765,14,1.359375
1776342728.5237746,15,2.265625
1776342735.1257045,16,2.3125
1776342742.1592987,17,1.984375
1776342748.5255322,18,1.640625
1776342755.003017,19,1.2421875
1776342761.9200199,20,0.8359375
1776342769.3842535,21,1.0625
1776342776.0374763,22,2.265625
1776342782.8361456,23,1.3359375
1776342789.1533074,24,0.9765625
1776342801.7063556,26,0.71875
1776342808.288738,27,0.9609375
1776342815.2290974,28,1.375
1776342821.9383047,29,1.3359375
1776342828.741972,30,1.3515625
1776342835.4189095,31,-0.126953125
1776342842.257712,32,0.4296875
1776342848.6088789,33,2.71875
1776342855.7600396,34,0.40625
1776342862.3779294,35,0.953125
1776342869.4272602,36,0.7734375
1776342875.9694977,37,1.2734375
1776342882.867895,38,1.1015625
1776342889.1778243,39,0.78515625
1776342895.7380054,40,0.82421875
1776342902.5991123,41,0.61328125
1776342916.1134126,43,1.8125
1776342923.2346437,44,2.40625
1776342944.4738007,47,0.392578125
1776342950.8453615,48,0.416015625
1776342957.412497,49,1.7265625
1776342963.8228095,50,1.578125
1776342970.846709,51,2.125
1776342977.9919975,52,0.5546875
1776342984.6977746,53,-0.32421875
1776342992.0824587,54,0.412109375
1776342999.949989,55,0.81640625
1776343006.7055695,56,1.015625
1776343021.0118308,58,1.6171875
1776343027.2353826,59,0.3515625
1776343041.047678,61,1.1015625
1776343047.6192036,62,-0.486328125
1776343054.4604743,63,2.140625
1776343060.6788352,64,1.0
1776343074.8170016,66,1.0078125
1776343081.9349382,67,1.7890625
1776343088.5799305,68,0.185546875
1776343095.4037845,69,0.08203125
1776343101.9360907,70,0.4296875
1776343108.6124387,71,1.890625
1776343115.3986852,72,-0.05810546875
1776343121.9920201,73,1.25
1776343128.569598,74,1.765625
1776343134.9442356,75,0.24609375
1776343141.28635,76,0.56640625
1776343148.3513746,77,0.58984375
1776343154.7298706,78,3.015625
1776343161.7531466,79,0.67578125
1776343168.3289537,80,0.021484375
1776343175.7808158,81,1.453125
1776343182.352748,82,1.609375
1776343189.7667618,83,0.4140625
1776343196.4859986,84,2.328125
1776343203.0307019,85,0.359375
1776343210.0094998,86,0.78125
1776343216.6408865,87,0.37109375
1776343223.1263983,88,0.98828125
1776343230.1394477,89,-0.484375
1776343236.8096216,90,1.7890625
1776343243.4319074,91,0.50390625
1776343256.4917579,93,1.6171875
1776343263.513073,94,1.3984375
1776343270.2858102,95,1.8828125
1776343278.3777466,96,0.8515625
1776343285.3708992,97,-0.470703125
1776343298.795704,99,2.09375
1776343305.787156,100,2.359375
1776343312.7241657,101,1.1171875
1776343319.0696297,102,2.328125
1776343333.0164602,104,1.140625
1776343339.5895233,105,0.8671875
1776343347.0918107,106,0.828125
1776343353.9608543,107,1.265625
1776343360.789604,108,1.609375
1776343367.4726017,109,1.578125
1776343374.5054934,110,2.21875
1776343391.5197396,111,-0.9140625
1776343397.9764686,112,1.625
1776343404.2212908,113,1.2109375
1776343417.0744417,115,1.5234375
1776343423.3961864,116,-0.04345703125
1776343429.546843,117,1.359375
1776343438.153738,118,-0.404296875
1776343444.857102,119,2.140625
1776343451.5156782,120,0.296875
1776343461.8704891,121,1.546875
1776343468.2902427,122,-0.2314453125
1776343474.6441426,123,-0.0869140625
1776343481.021341,124,2.515625
1776343494.1641278,126,0.361328125
1776343500.9221447,127,1.2578125
1776343507.644358,128,0.62890625
1776343514.1109557,129,2.09375
1776343520.5574303,130,2.640625
1776343531.0520098,131,0.35546875
1776343538.2208474,132,-0.318359375
1776343544.7697024,133,1.6796875
1776343558.0019248,135,0.8828125
1776343570.9349315,137,1.34375
1776343577.325285,138,0.26171875
1776343584.3825002,139,0.8046875
1776343590.9381335,140,3.703125
1776343601.421095,141,0.474609375
1776343607.9757512,142,0.671875
1776343615.1893833,143,1.3203125
1776343622.2442522,144,3.25
1776343628.770518,145,0.9609375
1776343635.8683243,146,0.1611328125
1776343642.2134433,147,0.328125
1776343648.7043128,148,0.859375
1776343655.9508038,149,0.25390625
1776343677.0599442,151,1.3671875
1776343691.2848513,153,-0.828125
1776343698.4377499,154,1.4765625
1776343705.1101933,155,1.5390625
1776343719.0038993,157,0.53125
1776343725.4169579,158,-0.337890625
1776343731.5597875,159,0.98046875
1776343738.1656718,160,0.67578125
1776343749.2280552,161,2.078125
1776343755.7210498,162,0.5078125
1776343762.1134377,163,0.76171875
1776343768.3454351,164,2.4375
1776343775.466701,165,1.796875
1776343782.1328456,166,-0.080078125
1776343789.4915617,167,0.625
1776343804.4201825,169,-0.4375
1776343810.958575,170,1.2890625
1776343822.9823475,171,0.8671875
1776343830.0326798,172,2.84375
1776343836.9750476,173,1.1171875
1776343844.1817453,174,1.421875
1776343851.2338455,175,-0.38671875
1776343857.5872867,176,1.421875
1776343864.7882655,177,1.9609375
1776343872.293423,178,1.953125
1776343879.251535,179,1.109375
1776343899.176227,181,0.63671875
1776343905.8597727,182,2.15625
1776343912.3587863,183,0.302734375
