Wall time,Step,Value
1776342629.2167468,1,1.265625
1776342645.929372,3,1.705078125
1776342653.21247,4,1.26171875
1776342659.8548193,5,1.3359375
1776342666.4635334,6,1.48828125
1776342679.8136065,8,1.544921875
1776342693.401292,10,1.796875
1776342700.790314,11,1.33203125
1776342707.399349,12,0.9677734375
1776342721.5450745,14,1.619140625
1776342728.5241892,15,1.462890625
1776342735.1260598,16,1.6015625
1776342742.1601129,17,1.388671875
1776342748.5258965,18,1.45703125
1776342755.0034244,19,1.36328125
1776342761.9204383,20,1.58984375
1776342769.3846064,21,1.560546875
1776342776.037858,22,1.4140625
1776342782.8365402,23,1.607421875
1776342789.1536841,24,1.42578125
1776342801.7067127,26,1.1328125
1776342808.2890978,27,1.296875
1776342815.229461,28,1.384765625
1776342821.9386585,29,1.578125
1776342828.742365,30,1.27734375
1776342835.4192762,31,1.408203125
1776342842.2580636,32,1.326171875
1776342848.6092463,33,1.51171875
1776342855.7604117,34,1.384765625
1776342862.3782985,35,1.611328125
1776342869.4276278,36,1.4609375
1776342875.9698803,37,1.333984375
1776342882.8682835,38,1.509765625
1776342889.1786046,39,1.578125
1776342895.7387266,40,1.697265625
1776342902.5998492,41,1.458984375
1776342916.1141214,43,1.4453125
1776342923.2353597,44,1.5546875
1776342944.4745166,47,1.599609375
1776342950.8460386,48,1.4609375
1776342957.413214,49,1.49609375
1776342963.8235018,50,1.59375
1776342970.8474283,51,1.501953125
1776342977.992712,52,1.470703125
1776342984.6984823,53,1.0390625
1776342992.0831845,54,1.53125
1776342999.9507167,55,1.125
1776343006.7062867,56,1.22265625
1776343021.0125477,58,1.59375
1776343027.2360837,59,1.486328125
1776343041.0484853,61,1.64453125
1776343047.619916,62,1.30859375
1776343054.4611955,63,1.35546875
1776343060.6795568,64,1.462890625
1776343074.8178418,66,1.416015625
1776343081.935668,67,1.435546875
1776343088.5806766,68,1.44921875
1776343095.404482,69,1.611328125
1776343101.936822,70,1.41796875
1776343108.6131601,71,1.455078125
1776343115.3994033,72,1.3671875
1776343121.9927313,73,1.4921875
1776343128.57032,74,1.34765625
1776343134.9449518,75,1.515625
1776343141.2870576,76,1.42578125
1776343148.3520825,77,1.537109375
1776343154.7306337,78,1.517578125
1776343161.753899,79,1.3984375
1776343168.329664,80,1.427734375
1776343175.7815483,81,1.578125
1776343182.3534603,82,1.373046875
1776343189.7676384,83,1.4609375
1776343196.4867098,84,1.353515625
1776343203.0314267,85,1.482421875
1776343210.01019,86,1.609375
1776343216.6415854,87,1.455078125
1776343223.1272166,88,1.62109375
1776343230.140137,89,1.556640625
1776343236.8103194,90,1.318359375
1776343243.432596,91,1.23828125
1776343256.4924917,93,1.49609375
1776343263.5137827,94,1.45703125
1776343270.2865233,95,1.6875
1776343278.3785927,96,1.5390625
1776343285.3716192,97,1.5078125
1776343298.796414,99,1.380859375
1776343305.787851,100,1.474609375
1776343312.7248893,101,1.345703125
1776343319.0703442,102,1.421875
1776343333.0171978,104,1.5390625
1776343339.5902362,105,1.71875
1776343347.0925274,106,1.48046875
1776343353.9615457,107,1.5625
1776343360.7903345,108,1.4375
1776343367.4733152,109,1.3671875
1776343374.5062284,110,1.404296875
1776343391.5206068,111,1.6328125
1776343397.9771833,112,1.48828125
1776343404.222004,113,1.5390625
1776343417.075148,115,1.29296875
1776343423.3968997,116,1.453125
1776343429.547564,117,1.39453125
1776343438.1544523,118,1.55859375
1776343444.8578048,119,1.51171875
1776343451.516411,120,1.515625
1776343461.871164,121,1.560546875
1776343468.2909858,122,1.169921875
1776343474.644855,123,1.416015625
1776343481.0220404,124,1.490234375
1776343494.1648488,126,1.541015625
1776343500.922884,127,1.48828125
1776343507.6450615,128,1.5859375
1776343514.1116943,129,1.396484375
1776343520.5581255,130,1.48828125
1776343531.0527263,131,1.57421875
1776343538.2215672,132,1.595703125
1776343544.7704217,133,1.4375
1776343558.002647,135,1.673828125
1776343570.9356897,137,1.6328125
1776343577.3259714,138,1.568359375
1776343584.382545,139,1.3203125
1776343590.938883,140,1.48046875
1776343601.4217987,141,1.625
1776343607.9764435,142,1.5234375
1776343615.190091,143,1.37890625
1776343622.2449808,144,1.48046875
1776343628.7712336,145,1.490234375
1776343635.8692324,146,1.6328125
1776343642.2141662,147,1.40625
1776343648.7051628,148,1.548828125
1776343655.951486,149,1.51953125
1776343677.060689,151,1.408203125
1776343691.285589,153,1.513671875
1776343698.4385128,154,1.4453125
1776343705.110902,155,1.513671875
1776343719.0046003,157,1.5234375
1776343725.417747,158,1.712890625
1776343731.5605345,159,1.37890625
1776343738.1664057,160,1.564453125
1776343749.2287805,161,1.47265625
1776343755.721845,162,1.55859375
1776343762.1144211,163,1.59375
1776343768.3461652,164,1.53125
1776343775.4674842,165,1.443359375
1776343782.133564,166,1.44140625
1776343789.4922924,167,1.3203125
1776343804.4209082,169,1.498046875
1776343810.9593067,170,1.494140625
1776343822.9830704,171,1.65234375
1776343830.0334404,172,1.521484375
1776343836.9758263,173,1.4375
1776343844.1825097,174,1.630859375
1776343851.2345417,175,1.380859375
1776343857.5879972,176,1.513671875
1776343864.7890382,177,1.478515625
1776343872.2941968,178,1.546875
1776343879.2523012,179,1.5
1776343899.177011,181,1.38671875
1776343905.86047,182,1.431640625
1776343912.3595457,183,1.310546875
1776343919.634857,184,1.56640625
1776343926.2972574,185,1.375
1776343932.9003563,186,1.40234375
1776343939.4673612,187,1.474609375
1776343958.3206782,190,1.576171875
1776343970.2115166,191,1.55859375
1776343977.7308934,192,1.49609375
1776343985.258872,193,1.361328125
1776343992.7656696,194,1.59765625
1776344000.3485901,195,1.564453125
1776344007.0745332,196,1.376953125
1776344020.6276572,198,1.62890625
1776344027.5041773,199,1.48828125
1776344034.7826045,200,1.68359375
1776344046.387699,201,1.5546875
1776344060.2727652,203,1.46875
1776344066.9225955,204,1.466796875
1776344073.8576562,205,1.4609375
1776344080.5397534,206,1.447265625
1776344087.8028371,207,1.40625
1776344094.3821313,208,1.447265625
1776344100.7650406,209,1.4765625
1776344107.9388711,210,1.619140625
1776344120.2401958,211,1.38671875
1776344126.9530404,212,1.48046875
1776344134.099914,213,1.529296875
1776344140.8213384,214,1.525390625
1776344148.0193262,215,1.548828125
1776344155.3219938,216,1.40625
1776344162.831969,217,1.275390625
1776344176.7048259,219,1.46484375
1776344184.070422,220,1.6015625
1776344195.4643185,221,1.53515625
1776344202.587786,222,1.37890625
1776344210.1464925,223,1.544921875
1776344217.6226423,224,1.494140625
1776344224.8923457,225,1.626953125
1776344232.08865,226,1.548828125
1776344239.5646262,227,1.146484375
1776344259.9786453,230,1.544921875
1776344272.2249224,231,1.208984375
1776344279.0734353,232,1.55078125
1776344285.4131756,233,1.525390625
1776344294.611003,234,1.4375
1776344301.151756,235,1.390625
1776344308.1307497,236,1.5859375
1776344314.7047222,237,1.482421875
1776344321.6925905,238,1.38671875
1776344328.470482,239,1.490234375
1776344334.694739,240,1.751953125
1776344351.415543,242,1.671875
1776344358.5601256,243,1.453125
1776344364.6562862,244,1.435546875
1776344371.5185246,245,1.462890625
1776344377.810766,246,1.52734375
1776344384.71707,247,1.4609375
1776344391.4502773,248,1.404296875
1776344398.9525797,249,1.478515625
1776344405.2250473,250,1.70703125
1776344421.7794378,252,1.34765625
1776344428.3090672,253,1.529296875
1776344434.6377978,254,1.591796875
1776344441.0027835,255,1.3125
1776344447.1842344,256,1.44921875
1776344460.5536203,258,1.556640625
1776344466.9429386,259,1.646484375
1776344473.221745,260,1.40234375
1776344485.4442391,261,1.3125
1776344498.4928913,263,1.546875
1776344505.310772,264,1.357421875
1776344519.368907,266,1.4765625
1776344532.4940147,268,1.669921875
1776344539.5416975,269,1.5234375
1776344557.8954582,271,1.70703125
1776344564.4730814,272,1.470703125
1776344577.266993,274,1.505859375
1776344584.4842956,275,1.458984375
1776344590.9626253,276,1.5078125
1776344597.373206,277,1.5390625
1776344611.1792402,279,1.48046875
1776344617.580446,280,1.388671875
1776344629.5406203,281,1.396484375
1776344636.0708516,282,1.484375
1776344642.3807747,283,1.546875
1776344648.7763958,284,1.431640625
1776344655.6938837,285,1.46484375
1776344662.0993457,286,1.478515625
1776344668.777508,287,1.484375
1776344675.6433768,288,1.447265625
1776344682.241097,289,1.611328125
1776344688.9509895,290,1.375
1776344701.7448971,291,1.28515625
1776344708.7226033,292,1.384765625
1776344715.6460824,293,1.326171875
1776344729.2892554,295,1.44140625
1776344735.764229,296,1.40234375
1776344743.1341496,297,1.296875
1776344750.2982466,298,1.380859375
1776344756.910665,299,1.373046875
1776344763.1731765,300,1.427734375
1776344775.2874405,301,1.296875
1776344781.560028,302,1.1484375
1776344789.0493896,303,1.283203125
1776344795.2805808,304,1.470703125
1776344802.636463,305,1.232421875
1776344809.8547451,306,1.361328125
1776344817.3087957,307,1.361328125
1776344825.128932,308,1.353515625
1776344831.86176,309,1.408203125
1776344838.6112158,310,1.2734375
1776344856.7612567,312,1.298828125
1776344864.0774171,313,1.3125
1776344871.8303018,314,1.1953125
1776344878.4659538,315,1.21484375
1776344885.7228653,316,1.19140625
1776344892.881021,317,1.197265625
1776344906.6142542,319,1.28515625
1776344913.242706,320,1.033203125
1776344925.1333685,321,1.2734375
1776344931.6152244,322,1.166015625
1776344938.1850355,323,1.279296875
1776344952.020779,325,1.02734375
1776344958.379749,326,1.20703125
1776344965.2713156,327,1.123046875
1776344971.5758977,328,1.25390625
1776344979.0262823,329,1.076171875
1776344985.0495596,330,1.3828125
1776344996.6703365,331,1.166015625
1776345004.254195,332,1.189453125
1776345011.897338,333,1.0390625
1776345019.4276621,334,1.224609375
1776345026.9304726,335,1.26171875
1776345033.379828,336,1.236328125
1776345040.5252151,337,1.4296875
1776345047.1633313,338,0.9619140625
1776345054.1224704,339,0.7998046875
1776345072.869976,341,1.20703125
1776345079.4999924,342,0.95703125
1776345085.9576898,343,1.09765625
1776345092.007082,344,0.8876953125
1776345099.335465,345,1.30078125
1776345106.811938,346,1.234375
1776345114.181215,347,1.046875
1776345121.0700717,348,1.25
1776345128.2895935,349,1.166015625
1776345136.8203065,350,1.0068359375
1776345148.941811,351,1.025390625
1776345162.9083362,353,0.94140625
1776345169.74162,354,1.234375
1776345176.798976,355,0.9619140625
1776345183.3994427,356,1.095703125
1776345196.789151,358,1.228515625
1776345203.722314,359,1.021484375
1776345222.8407142,361,0.9111328125
1776345229.532373,362,0.810546875
1776345235.571512,363,0.8935546875
1776345242.8990278,364,1.025390625
1776345249.246697,365,0.8603515625
1776345256.2668068,366,1.02734375
1776345262.648912,367,0.943359375
1776345268.6256278,368,1.166015625
1776345274.8340552,369,1.203125
1776345282.0407271,370,1.01953125
1776345304.7892125,373,0.908203125
1776345311.3711507,374,1.080078125
1776345317.7067363,375,1.083984375
1776345324.6598895,376,1.064453125
1776345331.36256,377,1.03515625
