Wall time,Step,Value
1776342629.2167795,1,4.736951712906159e-15
1776342645.929417,3,9.025813596963417e-06
1776342653.212521,4,1.3491261597664561e-05
1776342659.8548343,5,2.14499891626474e-06
1776342666.4635487,6,6.573493465111824e-06
1776342679.8136337,8,2.11560200114036e-06
1776342693.4013095,10,1.0331160410714801e-05
1776342700.7903318,11,4.2771375774464104e-06
1776342707.399364,12,3.6632511637435528e-06
1776342721.5450957,14,7.580757028335938e-06
1776342728.5242212,15,1.9253172922617523e-07
1776342735.126074,16,3.3894712032633834e-06
1776342742.160128,17,1.5115309906832408e-05
1776342748.5259109,18,1.4081655308473273e-06
1776342755.0034528,19,2.6689474452723516e-06
1776342761.9204555,20,4.875805188930826e-06
1776342769.3846216,21,2.22624134949001e-06
1776342776.0378733,22,5.808213927593897e-07
1776342782.8365555,23,4.268821157893399e-06
1776342789.153704,24,2.7479525215312606e-06
1776342801.7067277,26,1.1290360816929024e-05
1776342808.2891133,27,2.8904571536259027e-06
1776342815.2294776,28,8.622252607892733e-06
1776342821.9386766,29,1.7230573803317384e-06
1776342828.742381,30,5.5171640269691125e-06
1776342835.4192915,31,8.36100468859513e-08
1776342842.2580788,32,1.4526143786497414e-05
1776342848.6092618,33,2.0884631339868065e-06
1776342855.7604296,34,9.639620657253545e-07
1776342862.3783135,35,3.035246663785074e-06
1776342869.4276483,36,3.806249878834933e-06
1776342875.969895,37,6.010131528455531e-06
1776342882.8683004,38,2.500955588402576e-06
1776342889.1786218,39,1.078468358173268e-06
1776342895.7387414,40,1.505336695117876e-05
1776342902.5998635,41,5.554753101932874e-07
1776342916.114137,43,4.297026407584781e-06
1776342923.2353752,44,3.6114845443080412e-06
1776342944.4745317,47,1.2139445288994466e-06
1776342950.8460538,48,5.862037141923793e-06
1776342957.4132283,49,5.385820713854628e-06
1776342963.823517,50,2.5924780402419856e-06
1776342970.8474429,51,7.490327334380709e-06
1776342977.9927268,52,5.492021955433302e-06
1776342984.698498,53,1.8318191905564163e-06
1776342992.0832,54,4.279474524082616e-06
1776342999.9507346,55,7.108765657903859e-06
1776343006.7063022,56,1.5052411299620871e-06
1776343021.0125628,58,3.496128783808672e-06
1776343027.2360978,59,2.303004066561698e-06
1776343041.0485005,61,7.916668437246699e-06
1776343047.619931,62,6.7988898990734015e-06
1776343054.4612126,63,1.565592242513958e-06
1776343060.6795743,64,1.0636354090820532e-05
1776343074.8178566,66,8.999727469927166e-06
1776343081.9356823,67,9.596382142262883e-07
1776343088.5806913,68,3.840058525383938e-06
1776343095.4044979,69,9.508532457402907e-06
1776343101.9368372,70,1.0384942470409442e-06
1776343108.6131802,71,3.5262837627669796e-06
1776343115.3994207,72,2.8843207928730408e-06
1776343121.9927473,73,4.690615696745226e-06
1776343128.570335,74,3.916499281331198e-06
1776343134.9449673,75,2.35013862948108e-06
1776343141.2870734,76,4.756976068165386e-06
1776343148.3520982,77,7.081113380991155e-06
1776343154.7306497,78,8.966022505774163e-06
1776343161.7539139,79,5.0266644393559545e-06
1776343168.3296793,80,2.3948909984028433e-06
1776343175.7815652,81,1.4948022908356506e-05
1776343182.3534758,82,1.878431135082792e-06
1776343189.7676585,83,4.173372872173786e-06
1776343196.4867246,84,2.8882552669529105e-06
1776343203.031441,85,2.928377625721623e-06
1776343210.010205,86,3.5870007195626386e-06
1776343216.6416008,87,4.848792741540819e-06
1776343223.127268,88,8.636535312689375e-06
1776343230.1401522,89,2.1581138298643054e-06
1776343236.8103344,90,1.900041866065294e-06
1776343243.4326115,91,6.525158369186101e-07
1776343256.492506,93,7.728102900728118e-06
1776343263.5137985,94,2.076324017252773e-05
1776343270.2865386,95,8.615693332103547e-06
1776343278.3786478,96,1.2052278179908171e-05
1776343285.3716362,97,8.036195140448399e-06
1776343298.7964282,99,6.2126550801622216e-06
1776343305.787866,100,3.7972893096593907e-06
1776343312.7249043,101,1.8016789908870123e-06
1776343319.070359,102,2.0053591924806824e-06
1776343333.0172246,104,8.43267571326578e-06
1776343339.5902517,105,6.599918833671836e-06
1776343347.092542,106,4.115287538297707e-06
1776343353.9615605,107,9.473911632085219e-06
1776343360.7903488,108,4.656942564906785e-06
1776343367.4733305,109,1.3866566405340564e-05
1776343374.5062435,110,1.1488743439258542e-05
1776343391.5206602,111,3.753950977625209e-06
1776343397.9772024,112,4.3451636884128675e-06
1776343404.2220228,113,3.904313416569494e-06
1776343417.075163,115,2.183608785344404e-06
1776343423.3969142,116,1.0342683708586264e-05
1776343429.547579,117,7.511625881306827e-06
1776343438.1544673,118,8.142555998347234e-06
1776343444.8578203,119,1.2523659052021685e-06
1776343451.516426,120,1.0604745511955116e-05
1776343461.871185,121,4.2221412854814844e-07
1776343468.2910004,122,5.014995167584857e-06
1776343474.64487,123,5.893602974538226e-07
1776343481.0220554,124,3.992360234406078e-06
1776343494.1648655,126,9.17375655262731e-06
1776343500.9229088,127,2.053857542705373e-06
1776343507.6450765,128,1.3373512956604827e-05
1776343514.1117117,129,4.341011390351923e-07
1776343520.5581403,130,4.9119885261461604e-06
1776343531.0527408,131,3.823872248176485e-06
1776343538.2215836,132,5.650786988553591e-06
1776343544.770437,133,5.0224557526235e-06
1776343558.002662,135,4.995450126443757e-06
1776343570.935705,137,5.047626245868742e-07
1776343577.3259866,138,1.1047407497244421e-05
1776343584.382559,139,1.1035441275453195e-05
1776343590.9389133,140,7.448513770214049e-06
1776343601.421813,141,2.13017870009935e-06
1776343607.9764588,142,1.16713463285123e-05
1776343615.1901057,143,8.979345693660434e-06
1776343622.2449968,144,1.0592051694402471e-05
1776343628.7712486,145,8.99739552551182e-06
1776343635.8692875,146,2.770171886368189e-05
1776343642.214186,147,2.203206531703472e-05
1776343648.7051828,148,4.133031325181946e-06
1776343655.9515007,149,6.009344815538498e-06
1776343677.0607069,151,4.923472260998096e-06
1776343691.2856038,153,8.149454515660182e-06
1776343698.4385273,154,1.0639007086865604e-05
1776343705.1109166,155,3.094218982369057e-06
1776343719.0046146,157,1.7278496670769528e-05
1776343725.4177732,158,5.808127752970904e-06
1776343731.5605497,159,2.8341819415800273e-06
1776343738.1664207,160,4.860909484705189e-06
1776343749.2287958,161,6.750241936970269e-06
1776343755.7218604,162,7.080941941239871e-06
1776343762.114436,163,9.717152352095582e-06
1776343768.346183,164,6.487898190243868e-06
1776343775.467499,165,5.101919668959454e-06
1776343782.133578,166,3.363941004863591e-06
1776343789.4923072,167,7.03366413290496e-06
1776343804.4209259,169,7.777258360874839e-06
1776343810.959323,170,5.896941729588434e-06
1776343822.9830859,171,1.6024163414840586e-05
1776343830.0334551,172,5.254114967101486e-06
1776343836.9758408,173,2.6048923245980404e-05
1776343844.182525,174,8.595547456025088e-07
1776343851.2345567,175,2.883720298996195e-06
1776343857.5880113,176,9.410951861354988e-06
1776343864.789053,177,5.905969828745583e-06
1776343872.2942245,178,7.554383046226576e-06
1776343879.2523165,179,8.11456538940547e-06
1776343899.1770256,181,1.1199575737919076e-06
1776343905.8604846,182,4.909209110337542e-06
1776343912.3595598,183,5.015782789996592e-06
1776343919.6348717,184,1.8923507241197512e-06
1776343926.297272,185,1.0284675227012485e-05
1776343932.9003713,186,5.3620938160747755e-06
1776343939.4673758,187,3.0889011668477906e-06
1776343958.320693,190,1.0451668458699714e-05
1776343970.2115319,191,7.780522537359502e-06
1776343977.730909,192,2.5544470190652646e-05
1776343985.2588944,193,4.727721261588158e-06
1776343992.7656853,194,6.036474786696999e-08
1776344000.3486142,195,5.210774816077901e-06
1776344007.0745475,196,4.8058514039439615e-06
1776344020.627672,198,1.5774587154737674e-05
1776344027.5041926,199,2.201212009822484e-05
1776344034.7826192,200,3.226994749638834e-06
1776344046.3877454,201,2.0573718302330235e-06
1776344060.272788,203,1.2632011021196377e-05
1776344066.9226105,204,7.155616458476288e-06
1776344073.8576717,205,1.1114348126284312e-05
1776344080.539771,206,6.021350031915063e-07
1776344087.8028545,207,3.5120847314829007e-06
1776344094.382146,208,2.3251704988069832e-05
1776344100.7650554,209,9.654389941715635e-06
1776344107.938894,210,3.0498547403112752e-06
1776344120.2402105,211,1.2454365787561983e-05
1776344126.9530616,212,3.6341609757073456e-06
1776344134.0999289,213,5.499062808667077e-06
1776344140.8213525,214,5.522948868019739e-06
1776344148.0193405,215,1.0797161849041004e-05
1776344155.322009,216,2.381550984864589e-06
1776344162.8319893,217,2.6421093934914097e-06
1776344176.7048402,219,1.4815112990618218e-05
1776344184.070438,220,4.772332886204822e-06
1776344195.4643345,221,5.622214757750044e-06
1776344202.5878031,222,7.047408871585503e-06
1776344210.1465116,223,2.3039503957988927e-06
1776344217.6226573,224,4.802036073670024e-06
1776344224.892361,225,1.550747924738971e-06
1776344232.088666,226,3.329566652610083e-06
1776344239.564643,227,1.7244445871256175e-07
1776344259.97866,230,1.5875893950578757e-05
1776344272.2249374,231,5.355270786822075e-06
1776344279.0734537,232,9.339501957583707e-06
1776344285.413193,233,8.11279551271582e-06
1776344294.6110177,234,1.8985634596901946e-05
1776344301.1517706,235,7.595346687594429e-06
1776344308.1307971,236,6.8073727561568376e-06
1776344314.7047381,237,1.3880099686502945e-05
1776344321.6926057,238,3.935963661660935e-07
1776344328.4704967,239,7.224252840387635e-06
1776344334.6947536,240,1.6081392459454946e-05
1776344351.4155595,242,1.874392546596937e-05
1776344358.560142,243,1.9625845197879244e-06
1776344364.656305,244,3.787382183872978e-06
1776344371.5185397,245,3.471820264167036e-06
1776344377.810781,246,6.586842118849745e-06
1776344384.7170851,247,6.5185417952307034e-06
1776344391.4502919,248,2.3530068574473262e-05
1776344398.9525952,249,9.461652553000022e-06
1776344405.225063,250,1.8290667185283382e-06
1776344421.7794526,252,8.236099347413983e-06
